,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,9.85,5.34,17.09,0.0,71.6,1.19,15.59,87.87,Meghalaya,25.5788,91.8933
2000-01-02,10.82,4.84,17.63,0.0,56.46,1.05,16.55,87.82,Meghalaya,25.5788,91.8933
2000-01-03,12.24,7.8,19.45,0.0,52.66,0.75,16.58,87.68,Meghalaya,25.5788,91.8933
2000-01-04,11.23,5.51,17.89,0.0,61.98,0.78,16.57,87.69,Meghalaya,25.5788,91.8933
2000-01-05,10.86,5.5,17.96,0.0,67.68,0.87,16.14,87.73,Meghalaya,25.5788,91.8933
2000-01-06,12.47,8.27,19.52,0.0,58.04,0.76,16.52,87.66,Meghalaya,25.5788,91.8933
2000-01-07,11.12,7.54,17.47,0.0,63.15,0.9,16.39,87.72,Meghalaya,25.5788,91.8933
2000-01-08,9.74,5.73,16.2,0.0,67.77,0.92,15.69,87.67,Meghalaya,25.5788,91.8933
2000-01-09,9.88,5.85,16.82,0.0,67.66,0.98,13.84,87.64,Meghalaya,25.5788,91.8933
2000-01-10,9.82,6.01,16.43,0.0,64.26,1.21,12.85,87.64,Meghalaya,25.5788,91.8933
2000-01-11,11.46,5.44,19.41,0.0,64.23,1.18,15.9,87.72,Meghalaya,25.5788,91.8933
2000-01-12,11.0,6.08,18.16,0.0,66.79,1.15,16.5,87.7,Meghalaya,25.5788,91.8933
2000-01-13,11.19,6.22,18.94,0.0,70.26,1.28,15.0,87.6,Meghalaya,25.5788,91.8933
2000-01-14,10.56,5.67,18.31,0.01,79.71,1.63,9.82,87.5,Meghalaya,25.5788,91.8933
2000-01-15,9.65,4.19,17.69,0.01,74.73,1.69,15.88,87.63,Meghalaya,25.5788,91.8933
2000-01-16,10.51,5.33,18.45,0.05,73.09,1.7,12.74,87.8,Meghalaya,25.5788,91.8933
2000-01-17,9.79,4.41,17.29,0.0,60.53,1.3,15.79,87.84,Meghalaya,25.5788,91.8933
2000-01-18,9.22,2.76,18.22,0.0,71.99,1.14,14.4,87.85,Meghalaya,25.5788,91.8933
2000-01-19,10.36,4.67,18.18,0.0,70.21,1.12,14.73,87.6,Meghalaya,25.5788,91.8933
2000-01-20,8.89,4.72,14.93,0.0,68.72,1.64,12.27,87.46,Meghalaya,25.5788,91.8933
2000-01-21,9.44,5.09,16.19,0.22,68.1,1.23,14.43,87.86,Meghalaya,25.5788,91.8933
2000-01-22,10.7,6.26,16.98,0.86,71.67,1.28,12.78,87.86,Meghalaya,25.5788,91.8933
2000-01-23,10.15,5.77,15.47,8.46,80.27,1.25,9.55,87.83,Meghalaya,25.5788,91.8933
2000-01-24,10.71,4.91,16.65,1.44,75.64,0.9,12.06,87.99,Meghalaya,25.5788,91.8933
2000-01-25,10.32,4.28,18.07,0.0,77.1,0.85,16.25,88.06,Meghalaya,25.5788,91.8933
2000-01-26,10.44,3.93,18.26,0.0,71.43,1.04,17.64,88.06,Meghalaya,25.5788,91.8933
2000-01-27,10.3,5.25,18.46,0.0,68.88,1.34,16.8,87.89,Meghalaya,25.5788,91.8933
2000-01-28,9.93,4.62,17.14,0.03,65.22,1.82,11.57,87.86,Meghalaya,25.5788,91.8933
2000-01-29,9.34,5.14,15.88,1.65,77.1,1.49,10.14,87.85,Meghalaya,25.5788,91.8933
2000-01-30,9.37,4.19,17.48,0.02,72.19,1.19,15.56,87.99,Meghalaya,25.5788,91.8933
