,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,15.27,7.03,25.89,0.0,38.72,0.36,15.84,90.57,Mizoram,23.1645,92.9376
2000-01-02,15.62,6.82,26.25,0.0,32.65,0.45,16.87,90.53,Mizoram,23.1645,92.9376
2000-01-03,15.45,7.64,26.17,0.0,35.2,0.43,17.21,90.44,Mizoram,23.1645,92.9376
2000-01-04,15.54,8.53,26.2,0.0,39.26,0.28,17.05,90.47,Mizoram,23.1645,92.9376
2000-01-05,15.4,8.5,26.16,0.0,35.59,0.25,16.9,90.51,Mizoram,23.1645,92.9376
2000-01-06,15.43,9.42,24.97,0.0,32.21,0.36,16.97,90.41,Mizoram,23.1645,92.9376
2000-01-07,14.57,8.65,22.94,0.0,36.15,0.25,16.92,90.5,Mizoram,23.1645,92.9376
2000-01-08,14.3,7.26,25.05,0.0,34.48,0.34,16.46,90.46,Mizoram,23.1645,92.9376
2000-01-09,14.41,7.4,24.69,0.0,38.78,0.24,16.57,90.46,Mizoram,23.1645,92.9376
2000-01-10,14.79,8.22,24.48,0.0,38.46,0.28,17.21,90.5,Mizoram,23.1645,92.9376
2000-01-11,16.59,9.35,27.25,0.0,38.29,0.39,17.46,90.52,Mizoram,23.1645,92.9376
2000-01-12,16.11,8.85,26.16,0.0,43.13,0.25,17.25,90.54,Mizoram,23.1645,92.9376
2000-01-13,16.39,8.58,26.23,0.0,40.34,0.21,17.14,90.45,Mizoram,23.1645,92.9376
2000-01-14,16.63,9.34,26.16,0.0,45.59,0.23,16.65,90.36,Mizoram,23.1645,92.9376
2000-01-15,16.06,9.61,24.73,0.05,56.97,0.27,17.03,90.49,Mizoram,23.1645,92.9376
2000-01-16,16.38,8.84,26.51,0.08,53.59,0.31,15.55,90.62,Mizoram,23.1645,92.9376
2000-01-17,15.61,9.12,25.54,0.0,55.08,0.29,15.98,90.68,Mizoram,23.1645,92.9376
2000-01-18,15.58,7.88,26.88,0.0,38.22,0.35,17.51,90.63,Mizoram,23.1645,92.9376
2000-01-19,15.73,8.56,26.35,0.0,38.69,0.48,18.0,90.41,Mizoram,23.1645,92.9376
2000-01-20,13.56,7.05,22.35,0.0,53.41,0.29,16.76,90.34,Mizoram,23.1645,92.9376
2000-01-21,13.51,5.92,22.59,0.78,65.98,0.25,16.88,90.68,Mizoram,23.1645,92.9376
2000-01-22,14.97,8.17,23.61,1.8,74.27,0.22,12.45,90.67,Mizoram,23.1645,92.9376
2000-01-23,15.27,9.82,22.97,0.85,72.39,0.18,9.57,90.66,Mizoram,23.1645,92.9376
2000-01-24,15.17,8.85,23.66,0.22,68.78,0.28,15.39,90.76,Mizoram,23.1645,92.9376
2000-01-25,15.99,9.59,25.05,0.0,54.38,0.33,16.73,90.83,Mizoram,23.1645,92.9376
2000-01-26,16.42,9.41,26.8,0.0,44.99,0.41,18.14,90.79,Mizoram,23.1645,92.9376
2000-01-27,15.8,8.27,26.04,0.0,43.04,0.27,18.99,90.71,Mizoram,23.1645,92.9376
2000-01-28,15.01,7.19,25.18,0.29,45.75,0.29,18.1,90.7,Mizoram,23.1645,92.9376
2000-01-29,14.23,8.85,22.79,1.78,58.75,0.28,8.79,90.66,Mizoram,23.1645,92.9376
2000-01-30,14.03,6.63,23.67,0.75,59.93,0.28,17.89,90.81,Mizoram,23.1645,92.9376
2000-01-31,14.57,5.94,25.35,0.0,46.92,0.35,18.77,90.86,Mizoram,23.1645,92.9376
2000-02-01,14.94,7.18,24.99,0.0,47.12,0.2,18.96,90.71,Mizoram,23.1645,92.9376
2000-02-02,15.05,8.33,24.61,0.0,44.29,0.23,17.2,90.72,Mizoram,23.1645,92.9376
2000-02-03,14.91,7.31,23.27,0.04,62.88,0.26,12.15,90.86,Mizoram,23.1645,92.9376
2000-02-04,16.39,9.35,24.98,0.0,71.44,0.22,13.27,90.68,Mizoram,23.1645,92.9376
2000-02-05,16.78,10.28,25.16,1.15,66.87,0.26,8.8,90.58,Mizoram,23.1645,92.9376
2000-02-06,17.62,9.93,27.55,0.39,54.59,0.29,7.95,90.44,Mizoram,23.1645,92.9376
2000-02-07,16.08,10.3,23.8,0.04,71.11,0.2,14.62,90.46,Mizoram,23.1645,92.9376
2000-02-08,16.1,9.39,24.7,0.0,62.46,0.25,16.55,90.45,Mizoram,23.1645,92.9376
2000-02-09,14.57,7.36,23.67,0.0,51.55,0.31,18.79,90.49,Mizoram,23.1645,92.9376
2000-02-10,14.47,7.12,23.2,0.0,54.99,0.29,15.24,90.58,Mizoram,23.1645,92.9376
2000-02-11,15.95,7.8,26.19,0.0,47.63,0.35,19.81,90.48,Mizoram,23.1645,92.9376
2000-02-12,17.79,9.45,28.09,0.0,35.98,0.44,14.32,90.45,Mizoram,23.1645,92.9376
2000-02-13,18.58,10.91,28.73,0.0,43.92,0.31,20.04,90.41,Mizoram,23.1645,92.9376
2000-02-14,18.86,11.26,28.91,0.0,49.52,0.2,12.48,90.47,Mizoram,23.1645,92.9376
2000-02-15,16.72,8.35,25.93,0.0,39.69,0.26,21.56,90.53,Mizoram,23.1645,92.9376
2000-02-16,16.28,6.52,28.51,0.0,26.5,0.25,21.47,90.37,Mizoram,23.1645,92.9376
2000-02-17,16.18,8.44,26.2,0.0,26.71,0.25,20.16,90.27,Mizoram,23.1645,92.9376
2000-02-18,16.44,8.51,25.08,0.02,40.27,0.25,9.54,90.32,Mizoram,23.1645,92.9376
2000-02-19,15.2,8.61,24.43,0.01,39.39,0.33,19.91,90.37,Mizoram,23.1645,92.9376
2000-02-20,13.84,4.69,24.52,0.0,23.75,0.35,20.49,90.4,Mizoram,23.1645,92.9376
2000-02-21,15.26,5.54,25.8,0.0,25.91,0.35,11.94,90.56,Mizoram,23.1645,92.9376
2000-02-22,16.92,9.46,26.63,0.0,31.34,0.26,20.29,90.53,Mizoram,23.1645,92.9376
2000-02-23,16.48,8.7,26.2,0.0,31.92,0.29,22.45,90.56,Mizoram,23.1645,92.9376
2000-02-24,16.94,7.61,27.46,0.0,27.85,0.27,20.97,90.57,Mizoram,23.1645,92.9376
2000-02-25,18.08,10.59,27.34,0.02,30.45,0.26,16.11,90.46,Mizoram,23.1645,92.9376
2000-02-26,17.35,10.53,26.08,0.02,28.84,0.18,13.81,90.38,Mizoram,23.1645,92.9376
2000-02-27,15.73,9.17,24.35,0.0,37.08,0.28,22.02,90.46,Mizoram,23.1645,92.9376
2000-02-28,16.18,10.21,24.53,0.0,29.04,0.37,21.96,90.58,Mizoram,23.1645,92.9376
