,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,13.55,8.39,21.79,0.0,45.29,0.56,15.31,90.33,Nagaland,26.1584,94.5624
2000-01-02,13.72,6.73,22.97,0.0,41.47,0.57,15.62,90.27,Nagaland,26.1584,94.5624
2000-01-03,13.67,7.53,22.56,0.0,43.57,0.54,15.37,90.15,Nagaland,26.1584,94.5624
2000-01-04,13.35,8.25,21.75,0.0,47.07,0.47,15.33,90.18,Nagaland,26.1584,94.5624
2000-01-05,13.43,7.68,22.17,0.0,45.13,0.51,15.06,90.22,Nagaland,26.1584,94.5624
2000-01-06,13.83,8.05,22.05,0.0,42.11,0.55,14.97,90.11,Nagaland,26.1584,94.5624
2000-01-07,12.86,6.6,21.29,0.0,44.41,0.37,15.69,90.17,Nagaland,26.1584,94.5624
2000-01-08,11.85,6.52,20.52,0.0,46.68,0.5,15.23,90.17,Nagaland,26.1584,94.5624
2000-01-09,12.08,6.95,20.51,0.0,47.55,0.39,14.62,90.14,Nagaland,26.1584,94.5624
2000-01-10,11.54,6.23,19.13,0.0,56.9,0.38,13.24,90.18,Nagaland,26.1584,94.5624
2000-01-11,12.91,8.1,21.15,0.0,58.91,0.43,12.99,90.26,Nagaland,26.1584,94.5624
2000-01-12,12.34,8.21,19.74,0.0,59.63,0.37,13.47,90.25,Nagaland,26.1584,94.5624
2000-01-13,12.88,6.89,21.11,0.0,58.93,0.44,13.38,90.1,Nagaland,26.1584,94.5624
2000-01-14,13.58,8.01,21.17,0.25,64.29,0.36,8.51,89.98,Nagaland,26.1584,94.5624
2000-01-15,13.28,7.57,21.58,0.61,65.55,0.33,13.39,90.1,Nagaland,26.1584,94.5624
2000-01-16,13.7,7.03,22.1,0.0,60.11,0.37,12.72,90.29,Nagaland,26.1584,94.5624
2000-01-17,12.91,7.69,21.05,0.0,65.14,0.41,13.27,90.37,Nagaland,26.1584,94.5624
2000-01-18,12.98,6.59,22.36,0.0,56.66,0.51,16.67,90.35,Nagaland,26.1584,94.5624
2000-01-19,13.58,6.03,23.52,0.05,49.61,0.54,16.85,90.05,Nagaland,26.1584,94.5624
2000-01-20,12.7,7.71,21.07,1.54,56.59,0.43,3.85,89.91,Nagaland,26.1584,94.5624
2000-01-21,11.4,6.5,19.63,2.8,62.97,0.39,11.64,90.35,Nagaland,26.1584,94.5624
2000-01-22,13.05,8.29,21.07,0.53,60.3,0.41,9.66,90.33,Nagaland,26.1584,94.5624
2000-01-23,12.05,7.39,18.96,1.37,70.83,0.43,10.47,90.33,Nagaland,26.1584,94.5624
2000-01-24,12.31,7.46,19.97,0.0,70.14,0.47,13.77,90.51,Nagaland,26.1584,94.5624
2000-01-25,12.96,8.06,21.34,0.0,64.28,0.48,13.95,90.58,Nagaland,26.1584,94.5624
2000-01-26,13.5,7.92,22.5,0.0,58.33,0.48,17.6,90.54,Nagaland,26.1584,94.5624
2000-01-27,13.11,7.18,21.94,0.0,54.51,0.46,17.03,90.38,Nagaland,26.1584,94.5624
2000-01-28,12.93,5.76,21.63,1.01,59.79,0.35,12.67,90.35,Nagaland,26.1584,94.5624
2000-01-29,12.61,7.37,20.43,5.11,67.35,0.34,5.69,90.28,Nagaland,26.1584,94.5624
2000-01-30,11.52,6.85,18.79,0.08,71.25,0.31,15.12,90.48,Nagaland,26.1584,94.5624
2000-01-31,12.4,5.6,21.59,0.0,55.83,0.48,18.11,90.58,Nagaland,26.1584,94.5624
2000-02-01,12.6,6.64,21.09,0.52,53.99,0.46,12.69,90.38,Nagaland,26.1584,94.5624
2000-02-02,12.47,6.53,22.04,1.57,56.53,0.42,6.38,90.36,Nagaland,26.1584,94.5624
2000-02-03,11.97,7.13,19.28,0.16,71.61,0.22,11.17,90.49,Nagaland,26.1584,94.5624
2000-02-04,13.04,8.25,21.08,0.0,74.6,0.32,15.06,90.36,Nagaland,26.1584,94.5624
2000-02-05,13.63,7.6,21.83,0.1,67.86,0.44,14.6,90.26,Nagaland,26.1584,94.5624
2000-02-06,14.54,9.36,23.23,0.05,62.08,0.33,6.94,90.16,Nagaland,26.1584,94.5624
2000-02-07,13.2,9.38,19.59,2.35,72.1,0.3,14.99,90.1,Nagaland,26.1584,94.5624
2000-02-08,13.27,8.46,21.18,0.24,70.37,0.3,16.81,90.15,Nagaland,26.1584,94.5624
2000-02-09,11.74,5.8,20.05,0.07,63.89,0.45,15.74,90.13,Nagaland,26.1584,94.5624
2000-02-10,11.14,3.76,19.5,0.0,55.6,0.3,17.8,90.25,Nagaland,26.1584,94.5624
2000-02-11,12.12,6.36,21.06,0.0,48.67,0.48,19.54,90.22,Nagaland,26.1584,94.5624
2000-02-12,13.76,7.61,22.33,0.0,46.19,0.41,17.86,90.22,Nagaland,26.1584,94.5624
2000-02-13,14.57,9.41,22.93,0.0,53.95,0.35,19.55,90.18,Nagaland,26.1584,94.5624
2000-02-14,15.24,9.05,24.53,0.0,55.17,0.38,18.14,90.18,Nagaland,26.1584,94.5624
2000-02-15,13.59,8.45,21.4,0.0,52.11,0.38,20.28,90.24,Nagaland,26.1584,94.5624
2000-02-16,14.15,6.58,24.27,0.0,40.72,0.5,20.43,90.08,Nagaland,26.1584,94.5624
