,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,19.47,13.81,25.27,0.0,74.73,1.12,15.76,100.64,Odisha,20.2961,85.8245
2000-01-02,18.82,11.93,25.24,0.0,64.51,0.97,16.37,100.63,Odisha,20.2961,85.8245
2000-01-03,18.19,10.81,24.73,0.0,58.77,0.95,16.53,100.51,Odisha,20.2961,85.8245
2000-01-04,18.36,10.88,24.91,0.0,56.49,0.85,16.4,100.55,Odisha,20.2961,85.8245
2000-01-05,18.05,10.68,24.77,0.0,59.14,0.99,16.38,100.58,Odisha,20.2961,85.8245
2000-01-06,17.47,10.72,24.86,0.0,62.92,1.31,17.18,100.52,Odisha,20.2961,85.8245
2000-01-07,16.81,8.97,24.88,0.0,56.1,1.32,16.41,100.59,Odisha,20.2961,85.8245
2000-01-08,17.48,10.04,25.27,0.0,54.37,1.08,16.71,100.56,Odisha,20.2961,85.8245
2000-01-09,17.5,10.08,26.49,0.0,59.36,1.61,16.95,100.5,Odisha,20.2961,85.8245
2000-01-10,18.13,10.54,27.43,0.0,63.87,1.46,17.25,100.44,Odisha,20.2961,85.8245
2000-01-11,19.64,10.83,28.64,0.0,60.14,1.23,17.1,100.45,Odisha,20.2961,85.8245
2000-01-12,19.99,12.68,28.68,0.0,61.38,0.97,16.95,100.42,Odisha,20.2961,85.8245
2000-01-13,20.43,13.49,29.02,0.0,69.62,1.04,17.08,100.33,Odisha,20.2961,85.8245
2000-01-14,21.71,14.67,30.4,0.0,69.94,1.3,17.97,100.18,Odisha,20.2961,85.8245
2000-01-15,22.15,16.03,30.09,1.1,69.1,0.98,17.3,100.29,Odisha,20.2961,85.8245
2000-01-16,23.29,18.62,29.85,0.19,72.37,0.7,14.91,100.47,Odisha,20.2961,85.8245
2000-01-17,21.78,16.05,28.69,0.0,69.14,1.41,16.32,100.7,Odisha,20.2961,85.8245
2000-01-18,19.37,12.82,27.14,0.0,65.51,1.42,17.99,100.76,Odisha,20.2961,85.8245
2000-01-19,17.99,10.4,27.39,0.0,54.9,1.74,17.55,100.5,Odisha,20.2961,85.8245
2000-01-20,19.94,11.23,29.86,0.0,55.07,1.64,18.02,100.24,Odisha,20.2961,85.8245
2000-01-21,21.61,14.76,29.94,0.0,62.9,1.15,17.18,100.4,Odisha,20.2961,85.8245
2000-01-22,21.73,15.32,29.76,0.08,77.53,1.74,14.38,100.45,Odisha,20.2961,85.8245
2000-01-23,22.37,16.57,30.35,0.16,68.67,1.37,14.75,100.38,Odisha,20.2961,85.8245
2000-01-24,21.06,13.48,29.27,0.06,68.61,1.85,17.09,100.62,Odisha,20.2961,85.8245
2000-01-25,20.8,14.45,28.41,0.0,71.91,1.61,16.8,100.84,Odisha,20.2961,85.8245
2000-01-26,20.61,14.17,28.59,0.0,67.47,1.34,17.52,100.83,Odisha,20.2961,85.8245
2000-01-27,20.14,12.91,28.73,0.0,61.56,1.11,18.54,100.74,Odisha,20.2961,85.8245
2000-01-28,21.93,14.89,30.37,0.0,56.04,1.03,18.06,100.64,Odisha,20.2961,85.8245
2000-01-29,20.61,14.4,29.49,0.0,51.78,2.13,18.11,100.64,Odisha,20.2961,85.8245
2000-01-30,18.71,10.32,28.03,0.0,51.48,1.27,18.4,100.82,Odisha,20.2961,85.8245
2000-01-31,20.39,13.42,28.29,0.0,69.94,1.51,16.96,100.82,Odisha,20.2961,85.8245
2000-02-01,21.53,15.65,29.14,0.0,72.17,2.52,14.93,100.55,Odisha,20.2961,85.8245
2000-02-02,22.82,16.56,30.63,0.0,70.58,2.34,17.93,100.5,Odisha,20.2961,85.8245
2000-02-03,23.68,17.65,31.35,0.0,73.13,1.55,19.6,100.61,Odisha,20.2961,85.8245
2000-02-04,24.22,17.87,32.34,0.0,72.84,1.91,18.07,100.44,Odisha,20.2961,85.8245
2000-02-05,24.29,18.51,31.58,0.27,75.12,3.11,18.34,100.21,Odisha,20.2961,85.8245
2000-02-06,24.65,19.87,30.92,2.61,76.79,2.72,14.53,100.16,Odisha,20.2961,85.8245
2000-02-07,24.91,19.64,31.67,0.39,70.43,1.2,15.28,100.22,Odisha,20.2961,85.8245
2000-02-08,23.78,19.81,29.03,0.02,72.12,1.98,14.49,100.33,Odisha,20.2961,85.8245
2000-02-09,21.65,18.59,25.39,19.36,86.72,1.38,8.49,100.38,Odisha,20.2961,85.8245
2000-02-10,23.48,18.74,30.46,1.48,71.62,1.46,17.57,100.34,Odisha,20.2961,85.8245
2000-02-11,22.98,17.06,29.77,0.74,77.5,2.63,14.91,100.34,Odisha,20.2961,85.8245
2000-02-12,25.34,20.31,31.83,5.32,75.84,2.38,13.18,100.2,Odisha,20.2961,85.8245
2000-02-13,24.62,20.9,30.27,3.14,79.08,1.5,13.03,100.26,Odisha,20.2961,85.8245
2000-02-14,22.55,19.11,27.84,0.27,67.35,2.33,15.87,100.51,Odisha,20.2961,85.8245
2000-02-15,23.14,16.35,31.05,0.0,53.91,1.36,21.05,100.51,Odisha,20.2961,85.8245
2000-02-16,22.9,15.31,31.07,0.0,63.65,0.93,22.09,100.38,Odisha,20.2961,85.8245
2000-02-17,24.63,18.72,31.57,2.92,74.12,2.16,15.65,100.06,Odisha,20.2961,85.8245
2000-02-18,25.19,20.11,31.81,0.91,69.05,1.68,15.27,100.08,Odisha,20.2961,85.8245
2000-02-19,23.28,18.29,29.97,0.03,69.63,1.75,13.42,100.27,Odisha,20.2961,85.8245
2000-02-20,22.66,16.34,30.13,0.41,65.13,1.76,8.5,100.3,Odisha,20.2961,85.8245
2000-02-21,22.58,18.46,28.45,1.01,68.04,1.88,14.57,100.41,Odisha,20.2961,85.8245
2000-02-22,21.02,18.56,24.61,0.1,68.05,1.21,18.34,100.53,Odisha,20.2961,85.8245
