,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,14.53,9.32,24.08,0.0,19.35,1.49,13.76,96.77,Punjab,30.7333,76.7794
2000-01-02,14.74,9.45,23.38,0.0,18.58,1.34,12.53,96.75,Punjab,30.7333,76.7794
2000-01-03,14.21,9.2,23.18,0.0,18.56,1.25,9.12,96.58,Punjab,30.7333,76.7794
2000-01-04,14.27,10.03,23.18,0.0,19.36,1.32,7.79,96.56,Punjab,30.7333,76.7794
2000-01-05,13.93,8.42,22.96,0.0,20.29,1.54,9.22,96.68,Punjab,30.7333,76.7794
2000-01-06,13.6,7.52,23.5,0.0,20.65,1.98,9.14,96.6,Punjab,30.7333,76.7794
2000-01-07,14.87,8.94,21.95,0.0,17.17,1.48,9.95,96.56,Punjab,30.7333,76.7794
2000-01-08,15.66,11.71,21.89,0.0,17.02,1.02,7.44,96.45,Punjab,30.7333,76.7794
2000-01-09,14.92,11.5,20.07,0.07,34.35,2.65,10.85,96.39,Punjab,30.7333,76.7794
2000-01-10,15.37,11.57,20.14,0.04,46.53,1.57,9.11,96.41,Punjab,30.7333,76.7794
2000-01-11,16.98,13.15,24.67,0.14,32.43,2.28,8.21,96.46,Punjab,30.7333,76.7794
2000-01-12,17.33,13.79,23.72,5.72,37.64,3.87,5.88,96.21,Punjab,30.7333,76.7794
2000-01-13,14.06,10.17,18.71,10.28,69.45,1.56,6.56,96.25,Punjab,30.7333,76.7794
2000-01-14,10.25,4.77,18.01,0.15,47.87,2.32,10.5,96.31,Punjab,30.7333,76.7794
2000-01-15,9.81,4.98,18.12,0.0,30.0,1.29,15.0,96.55,Punjab,30.7333,76.7794
2000-01-16,9.34,3.53,18.29,0.0,33.31,1.62,14.75,96.87,Punjab,30.7333,76.7794
2000-01-17,10.85,3.93,21.28,0.0,27.08,2.15,14.23,96.86,Punjab,30.7333,76.7794
2000-01-18,14.86,7.4,24.57,0.0,29.32,3.46,11.86,96.76,Punjab,30.7333,76.7794
2000-01-19,15.61,9.88,24.62,0.0,39.29,3.1,13.14,96.44,Punjab,30.7333,76.7794
2000-01-20,13.27,8.99,20.96,0.0,45.54,3.08,14.77,96.1,Punjab,30.7333,76.7794
2000-01-21,15.36,8.68,23.23,0.0,33.6,1.73,15.12,96.33,Punjab,30.7333,76.7794
2000-01-22,16.11,10.92,21.55,0.05,41.39,1.59,14.1,96.59,Punjab,30.7333,76.7794
2000-01-23,14.71,9.68,23.08,0.07,44.73,1.72,15.75,96.58,Punjab,30.7333,76.7794
2000-01-24,14.89,9.47,23.76,0.0,36.32,1.74,15.67,96.7,Punjab,30.7333,76.7794
2000-01-25,15.68,9.41,24.53,11.89,45.96,1.99,2.46,96.8,Punjab,30.7333,76.7794
2000-01-26,14.83,10.98,21.24,0.89,54.73,2.25,12.26,96.91,Punjab,30.7333,76.7794
2000-01-27,14.3,9.14,21.86,0.03,51.16,1.41,15.09,96.87,Punjab,30.7333,76.7794
2000-01-28,13.57,7.64,21.94,0.05,44.93,3.14,16.12,96.82,Punjab,30.7333,76.7794
2000-01-29,13.32,6.75,22.62,0.0,32.21,3.5,15.6,96.65,Punjab,30.7333,76.7794
2000-01-30,15.1,8.63,24.59,0.0,29.81,1.75,16.18,96.64,Punjab,30.7333,76.7794
2000-01-31,15.33,8.75,23.14,0.04,29.46,3.88,15.97,96.48,Punjab,30.7333,76.7794
2000-02-01,16.26,10.46,23.79,0.2,29.84,3.78,9.72,96.11,Punjab,30.7333,76.7794
2000-02-02,13.21,7.7,18.48,0.0,51.36,1.85,9.75,96.52,Punjab,30.7333,76.7794
2000-02-03,14.77,8.4,23.01,0.0,37.62,1.66,17.05,96.73,Punjab,30.7333,76.7794
2000-02-04,15.07,8.3,22.52,4.84,36.3,2.97,6.3,96.29,Punjab,30.7333,76.7794
2000-02-05,10.44,8.15,13.16,4.36,81.44,3.27,1.24,96.25,Punjab,30.7333,76.7794
2000-02-06,12.52,6.95,18.85,0.01,64.03,1.52,9.69,96.55,Punjab,30.7333,76.7794
2000-02-07,14.61,9.08,22.57,0.0,48.92,1.08,16.27,96.5,Punjab,30.7333,76.7794
2000-02-08,14.42,9.33,22.11,0.1,46.89,1.33,15.25,96.43,Punjab,30.7333,76.7794
2000-02-09,14.89,8.97,22.54,0.02,42.39,1.46,16.92,96.48,Punjab,30.7333,76.7794
2000-02-10,14.35,10.12,21.75,12.85,56.12,2.39,6.89,96.29,Punjab,30.7333,76.7794
2000-02-11,11.66,8.56,17.32,3.65,68.18,3.19,9.45,96.31,Punjab,30.7333,76.7794
2000-02-12,11.91,7.66,18.18,0.77,54.99,1.34,12.69,96.56,Punjab,30.7333,76.7794
2000-02-13,11.68,5.93,19.35,0.0,52.04,1.44,18.03,96.63,Punjab,30.7333,76.7794
2000-02-14,13.36,6.21,22.86,0.0,45.79,1.81,18.9,96.74,Punjab,30.7333,76.7794
2000-02-15,14.87,8.96,23.41,0.0,32.73,1.33,13.43,96.57,Punjab,30.7333,76.7794
2000-02-16,15.22,8.11,23.25,0.0,31.47,1.42,18.45,96.33,Punjab,30.7333,76.7794
2000-02-17,13.85,8.15,22.56,0.0,32.1,1.59,18.82,96.19,Punjab,30.7333,76.7794
2000-02-18,12.97,7.05,21.18,0.0,31.05,1.52,19.47,96.36,Punjab,30.7333,76.7794
2000-02-19,12.97,6.31,21.98,0.0,31.0,1.66,19.13,96.41,Punjab,30.7333,76.7794
2000-02-20,14.09,7.3,22.02,0.04,30.98,1.77,12.64,96.4,Punjab,30.7333,76.7794
2000-02-21,14.57,8.05,22.8,0.0,37.2,1.76,19.72,96.56,Punjab,30.7333,76.7794
2000-02-22,14.33,8.08,23.6,0.0,31.59,1.85,19.92,96.71,Punjab,30.7333,76.7794
2000-02-23,14.23,6.52,24.22,0.0,28.89,2.55,19.72,96.69,Punjab,30.7333,76.7794
2000-02-24,13.66,7.26,22.81,0.0,29.11,2.62,20.85,96.62,Punjab,30.7333,76.7794
2000-02-25,13.71,6.72,23.4,0.0,30.33,2.16,20.7,96.39,Punjab,30.7333,76.7794
2000-02-26,14.5,7.38,24.19,0.0,28.67,2.07,20.16,96.28,Punjab,30.7333,76.7794
2000-02-27,16.15,7.95,26.0,0.0,24.2,3.01,20.17,96.32,Punjab,30.7333,76.7794
2000-02-28,18.64,10.09,28.36,0.0,24.96,3.44,20.14,96.45,Punjab,30.7333,76.7794
2000-02-29,19.5,12.89,27.62,0.0,33.2,3.11,17.76,96.31,Punjab,30.7333,76.7794
2000-03-01,20.28,13.73,28.47,0.01,34.81,1.49,20.65,96.03,Punjab,30.7333,76.7794
2000-03-02,18.98,12.56,27.89,0.0,30.37,1.99,21.06,96.02,Punjab,30.7333,76.7794
2000-03-03,19.42,10.5,28.65,0.0,24.23,1.46,21.26,96.09,Punjab,30.7333,76.7794
2000-03-04,20.37,13.1,29.16,0.01,26.07,3.41,12.96,95.86,Punjab,30.7333,76.7794
2000-03-05,18.19,13.15,26.14,0.0,33.58,1.3,18.84,96.16,Punjab,30.7333,76.7794
2000-03-06,18.29,12.13,27.18,0.0,29.61,1.62,21.75,96.09,Punjab,30.7333,76.7794
2000-03-07,17.65,11.2,26.75,0.0,23.3,1.65,20.13,96.33,Punjab,30.7333,76.7794
2000-03-08,17.39,9.72,27.16,0.0,22.0,2.95,22.2,96.34,Punjab,30.7333,76.7794
2000-03-09,17.76,10.06,27.18,0.0,22.91,3.71,21.59,96.01,Punjab,30.7333,76.7794
2000-03-10,19.78,11.26,29.96,0.0,19.15,2.27,21.57,95.87,Punjab,30.7333,76.7794
2000-03-11,20.91,12.71,30.42,0.0,21.1,2.3,22.0,95.7,Punjab,30.7333,76.7794
2000-03-12,20.94,14.93,29.38,1.03,25.03,2.58,19.33,95.63,Punjab,30.7333,76.7794
2000-03-13,20.1,11.92,28.26,0.51,25.86,1.59,22.2,95.84,Punjab,30.7333,76.7794
