,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,15.34,7.11,25.64,0.0,21.48,1.5,16.19,96.9,Rajasthan,26.9124,75.7873
2000-01-02,16.14,9.1,25.24,0.0,19.15,1.18,16.21,96.92,Rajasthan,26.9124,75.7873
2000-01-03,15.33,9.35,25.37,0.0,18.15,1.44,16.7,96.79,Rajasthan,26.9124,75.7873
2000-01-04,15.21,8.63,25.14,0.0,18.77,1.62,16.71,96.78,Rajasthan,26.9124,75.7873
2000-01-05,15.6,9.1,25.16,0.0,17.39,1.63,15.9,96.87,Rajasthan,26.9124,75.7873
2000-01-06,15.49,8.63,25.96,0.0,17.62,1.75,15.79,96.87,Rajasthan,26.9124,75.7873
2000-01-07,17.57,10.16,26.15,0.0,14.04,1.39,15.11,96.81,Rajasthan,26.9124,75.7873
2000-01-08,18.39,11.14,27.38,0.0,16.26,1.6,14.67,96.65,Rajasthan,26.9124,75.7873
2000-01-09,18.38,12.23,26.93,0.01,33.06,2.39,16.13,96.51,Rajasthan,26.9124,75.7873
2000-01-10,17.93,12.4,25.85,0.05,34.43,1.33,15.71,96.52,Rajasthan,26.9124,75.7873
2000-01-11,17.73,10.44,26.94,0.0,34.31,2.35,17.36,96.52,Rajasthan,26.9124,75.7873
2000-01-12,17.04,9.74,26.12,0.04,39.85,2.23,15.58,96.35,Rajasthan,26.9124,75.7873
2000-01-13,15.1,8.79,22.26,0.63,43.24,2.19,14.98,96.51,Rajasthan,26.9124,75.7873
2000-01-14,10.6,3.72,20.09,0.0,13.58,2.07,15.92,96.58,Rajasthan,26.9124,75.7873
2000-01-15,10.4,3.09,20.19,0.0,20.21,2.12,16.49,96.81,Rajasthan,26.9124,75.7873
2000-01-16,10.53,3.34,20.1,0.0,25.85,2.28,16.14,97.17,Rajasthan,26.9124,75.7873
2000-01-17,10.74,2.88,20.51,0.0,25.11,1.95,16.04,97.26,Rajasthan,26.9124,75.7873
2000-01-18,14.49,5.64,27.16,0.0,19.64,2.06,15.16,97.18,Rajasthan,26.9124,75.7873
2000-01-19,14.9,7.13,25.43,0.0,22.39,2.31,16.08,96.89,Rajasthan,26.9124,75.7873
2000-01-20,16.81,7.57,26.2,0.0,18.3,2.11,15.98,96.49,Rajasthan,26.9124,75.7873
2000-01-21,17.62,11.31,26.59,0.0,23.8,1.3,17.15,96.48,Rajasthan,26.9124,75.7873
2000-01-22,18.23,10.86,27.26,0.02,31.52,1.13,16.16,96.6,Rajasthan,26.9124,75.7873
2000-01-23,17.31,11.66,26.1,0.04,35.95,1.51,16.96,96.78,Rajasthan,26.9124,75.7873
2000-01-24,17.33,9.93,26.41,0.0,31.21,1.35,17.8,96.96,Rajasthan,26.9124,75.7873
2000-01-25,17.73,8.9,27.86,0.43,31.22,2.22,17.83,96.82,Rajasthan,26.9124,75.7873
2000-01-26,17.1,10.71,25.18,0.0,40.76,2.94,17.42,96.94,Rajasthan,26.9124,75.7873
2000-01-27,14.24,8.95,21.78,0.0,47.17,3.02,17.39,97.18,Rajasthan,26.9124,75.7873
2000-01-28,12.37,5.43,21.54,0.0,35.76,2.73,18.24,97.24,Rajasthan,26.9124,75.7873
2000-01-29,14.07,5.54,25.24,0.0,27.92,2.36,18.16,97.11,Rajasthan,26.9124,75.7873
2000-01-30,17.77,8.17,27.96,0.0,17.48,1.66,18.06,96.98,Rajasthan,26.9124,75.7873
2000-01-31,17.33,9.48,26.82,0.0,19.68,1.93,18.24,96.56,Rajasthan,26.9124,75.7873
2000-02-01,15.21,8.12,24.67,0.0,31.83,2.67,18.94,96.35,Rajasthan,26.9124,75.7873
2000-02-02,15.57,7.42,25.56,0.0,22.36,1.55,18.94,96.6,Rajasthan,26.9124,75.7873
2000-02-03,15.76,6.76,25.69,0.0,20.97,1.8,19.03,96.79,Rajasthan,26.9124,75.7873
2000-02-04,16.31,7.16,25.94,1.67,33.09,2.76,19.06,96.44,Rajasthan,26.9124,75.7873
2000-02-05,11.63,6.27,18.17,0.18,56.02,2.43,13.17,96.47,Rajasthan,26.9124,75.7873
2000-02-06,12.79,6.54,21.52,0.02,50.93,1.36,19.93,96.74,Rajasthan,26.9124,75.7873
2000-02-07,13.65,6.89,22.65,0.0,43.83,1.34,19.4,96.76,Rajasthan,26.9124,75.7873
2000-02-08,14.04,6.93,23.28,0.0,39.95,1.62,19.72,96.7,Rajasthan,26.9124,75.7873
2000-02-09,15.35,6.71,24.46,0.0,33.19,1.3,19.88,96.75,Rajasthan,26.9124,75.7873
2000-02-10,15.73,7.18,24.37,4.07,43.97,2.27,14.21,96.43,Rajasthan,26.9124,75.7873
2000-02-11,13.96,8.69,20.81,0.34,59.42,2.63,17.71,96.46,Rajasthan,26.9124,75.7873
2000-02-12,13.09,6.16,21.9,0.04,38.7,1.24,20.65,96.74,Rajasthan,26.9124,75.7873
2000-02-13,11.93,5.06,20.7,0.0,36.85,1.99,20.82,96.93,Rajasthan,26.9124,75.7873
2000-02-14,11.93,4.85,20.75,0.0,36.16,1.75,20.91,97.06,Rajasthan,26.9124,75.7873
2000-02-15,15.49,7.28,23.87,0.0,28.17,0.71,20.97,96.87,Rajasthan,26.9124,75.7873
2000-02-16,15.98,9.48,25.99,0.0,24.5,1.56,21.03,96.63,Rajasthan,26.9124,75.7873
2000-02-17,15.12,8.23,25.33,0.0,15.67,2.31,21.0,96.44,Rajasthan,26.9124,75.7873
2000-02-18,14.61,5.71,24.34,0.0,22.54,1.46,21.24,96.57,Rajasthan,26.9124,75.7873
2000-02-19,15.86,7.08,25.49,0.0,22.26,1.44,21.33,96.59,Rajasthan,26.9124,75.7873
2000-02-20,16.61,7.45,26.29,0.0,22.43,1.96,21.43,96.47,Rajasthan,26.9124,75.7873
2000-02-21,16.14,7.78,25.57,0.0,26.05,1.34,21.93,96.65,Rajasthan,26.9124,75.7873
2000-02-22,16.93,7.85,27.3,0.0,26.29,1.56,22.24,96.84,Rajasthan,26.9124,75.7873
2000-02-23,16.72,8.98,26.8,0.0,18.9,2.05,22.69,96.95,Rajasthan,26.9124,75.7873
2000-02-24,16.02,8.37,26.07,0.0,18.16,1.99,21.98,96.97,Rajasthan,26.9124,75.7873
2000-02-25,16.64,9.36,25.72,0.0,15.1,1.81,21.95,96.75,Rajasthan,26.9124,75.7873
2000-02-26,17.35,10.24,27.01,0.0,13.23,1.72,22.55,96.55,Rajasthan,26.9124,75.7873
2000-02-27,19.49,11.62,30.14,0.0,12.93,1.63,22.18,96.59,Rajasthan,26.9124,75.7873
2000-02-28,21.74,14.19,32.61,0.0,16.53,2.0,23.26,96.72,Rajasthan,26.9124,75.7873
2000-02-29,24.04,15.62,34.72,0.0,19.16,1.98,23.21,96.52,Rajasthan,26.9124,75.7873
2000-03-01,23.73,15.96,33.09,0.0,23.9,1.62,21.64,96.21,Rajasthan,26.9124,75.7873
2000-03-02,22.47,14.32,32.0,0.0,23.92,1.88,21.78,96.25,Rajasthan,26.9124,75.7873
2000-03-03,21.99,14.19,31.76,0.0,20.14,1.93,21.7,96.27,Rajasthan,26.9124,75.7873
2000-03-04,21.28,14.6,30.21,0.0,27.19,3.64,21.24,96.17,Rajasthan,26.9124,75.7873
2000-03-05,18.01,10.24,27.28,0.0,15.18,2.08,19.25,96.46,Rajasthan,26.9124,75.7873
