,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,-0.19,-5.63,7.12,0.0,53.41,1.12,13.49,69.24,Sikkim,27.533,88.5122
2000-01-02,0.91,-2.7,7.73,0.0,51.4,1.12,14.52,69.29,Sikkim,27.533,88.5122
2000-01-03,0.43,-4.82,7.21,0.0,53.74,1.07,14.49,69.13,Sikkim,27.533,88.5122
2000-01-04,0.68,-4.31,7.98,0.0,46.35,1.01,14.49,69.09,Sikkim,27.533,88.5122
2000-01-05,0.48,-4.13,7.51,0.0,47.84,1.07,14.23,69.1,Sikkim,27.533,88.5122
2000-01-06,-0.17,-3.88,6.28,0.0,41.61,1.08,13.69,69.03,Sikkim,27.533,88.5122
2000-01-07,-0.86,-6.6,6.51,0.0,44.6,0.98,14.17,69.01,Sikkim,27.533,88.5122
2000-01-08,-1.02,-4.76,5.64,0.0,49.24,0.95,11.37,68.91,Sikkim,27.533,88.5122
2000-01-09,-1.24,-4.67,5.52,0.0,54.07,1.09,9.0,68.86,Sikkim,27.533,88.5122
2000-01-10,-1.16,-5.11,5.8,0.0,61.65,1.24,10.61,68.83,Sikkim,27.533,88.5122
2000-01-11,0.2,-4.25,7.27,0.0,58.13,1.06,11.36,69.03,Sikkim,27.533,88.5122
2000-01-12,0.81,-4.29,7.94,0.05,51.54,1.17,15.26,69.04,Sikkim,27.533,88.5122
2000-01-13,0.08,-3.52,6.47,0.23,60.94,1.36,6.82,68.92,Sikkim,27.533,88.5122
2000-01-14,-1.22,-5.67,4.96,0.03,78.08,1.47,10.66,68.78,Sikkim,27.533,88.5122
2000-01-15,-1.77,-5.2,4.78,0.0,62.71,1.56,11.65,68.85,Sikkim,27.533,88.5122
2000-01-16,-2.4,-6.43,4.38,0.0,48.49,1.64,13.03,69.0,Sikkim,27.533,88.5122
2000-01-17,-0.1,-5.0,7.36,0.0,39.81,1.1,13.79,69.07,Sikkim,27.533,88.5122
2000-01-18,1.26,-6.45,9.85,0.0,35.21,1.29,15.68,69.22,Sikkim,27.533,88.5122
2000-01-19,1.07,-3.11,8.58,0.0,46.98,1.3,15.39,68.97,Sikkim,27.533,88.5122
2000-01-20,-1.48,-4.81,4.54,0.0,59.07,1.36,6.8,68.62,Sikkim,27.533,88.5122
2000-01-21,-2.86,-6.84,3.76,0.0,68.76,1.18,9.68,68.94,Sikkim,27.533,88.5122
2000-01-22,-3.33,-7.04,3.0,0.06,77.39,1.35,8.95,68.95,Sikkim,27.533,88.5122
