,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,23.54,20.61,27.45,0.04,74.3,3.65,16.04,100.69,Tamil Nadu,13.0827,80.2707
2000-01-02,24.12,21.34,27.94,0.02,70.06,3.57,15.56,100.66,Tamil Nadu,13.0827,80.2707
2000-01-03,23.61,20.76,27.53,0.01,75.19,3.73,15.9,100.58,Tamil Nadu,13.0827,80.2707
2000-01-04,23.7,20.26,28.01,0.0,76.56,3.55,16.99,100.57,Tamil Nadu,13.0827,80.2707
2000-01-05,24.37,21.81,27.62,0.21,82.76,4.27,12.98,100.54,Tamil Nadu,13.0827,80.2707
2000-01-06,24.34,22.11,27.54,0.37,82.45,4.17,13.94,100.54,Tamil Nadu,13.0827,80.2707
2000-01-07,24.08,21.37,28.05,0.01,78.22,4.56,17.59,100.6,Tamil Nadu,13.0827,80.2707
2000-01-08,24.06,21.11,28.08,0.05,77.51,4.29,17.33,100.61,Tamil Nadu,13.0827,80.2707
2000-01-09,24.57,21.72,28.6,0.14,79.33,3.85,17.01,100.6,Tamil Nadu,13.0827,80.2707
2000-01-10,24.69,22.12,28.24,1.54,83.89,3.61,16.53,100.55,Tamil Nadu,13.0827,80.2707
2000-01-11,24.8,22.46,28.29,0.33,80.95,3.59,19.28,100.58,Tamil Nadu,13.0827,80.2707
2000-01-12,25.13,22.67,28.83,0.01,79.07,2.9,18.15,100.54,Tamil Nadu,13.0827,80.2707
2000-01-13,25.28,22.38,29.52,0.0,77.22,2.46,19.08,100.53,Tamil Nadu,13.0827,80.2707
2000-01-14,25.4,22.25,30.04,0.0,77.96,1.73,18.89,100.41,Tamil Nadu,13.0827,80.2707
2000-01-15,25.63,22.44,30.67,0.0,76.43,1.77,19.95,100.48,Tamil Nadu,13.0827,80.2707
2000-01-16,25.44,22.34,30.21,0.0,78.06,2.65,19.89,100.6,Tamil Nadu,13.0827,80.2707
2000-01-17,24.87,21.5,30.02,0.0,78.18,2.99,18.64,100.77,Tamil Nadu,13.0827,80.2707
2000-01-18,24.36,21.14,29.26,0.0,78.1,3.2,16.57,100.88,Tamil Nadu,13.0827,80.2707
2000-01-19,24.49,20.96,29.71,0.0,78.7,2.41,17.43,100.77,Tamil Nadu,13.0827,80.2707
2000-01-20,24.29,20.54,30.61,0.0,73.68,1.86,20.36,100.61,Tamil Nadu,13.0827,80.2707
2000-01-21,23.54,18.77,29.83,0.0,76.27,2.19,21.06,100.68,Tamil Nadu,13.0827,80.2707
2000-01-22,23.59,19.43,29.47,0.0,75.59,2.14,19.54,100.74,Tamil Nadu,13.0827,80.2707
2000-01-23,23.67,18.46,30.12,0.0,74.63,2.28,18.86,100.66,Tamil Nadu,13.0827,80.2707
2000-01-24,24.13,19.39,30.03,0.0,76.93,2.32,20.3,100.75,Tamil Nadu,13.0827,80.2707
2000-01-25,24.67,21.51,29.8,0.0,76.25,2.8,20.18,100.86,Tamil Nadu,13.0827,80.2707
2000-01-26,24.56,21.28,29.36,0.0,72.16,3.34,19.63,100.9,Tamil Nadu,13.0827,80.2707
2000-01-27,24.6,21.58,29.14,0.0,68.85,3.89,20.65,100.83,Tamil Nadu,13.0827,80.2707
2000-01-28,24.54,20.55,29.62,0.0,71.46,3.66,18.25,100.83,Tamil Nadu,13.0827,80.2707
2000-01-29,25.05,21.51,30.38,0.0,74.21,3.01,21.1,100.86,Tamil Nadu,13.0827,80.2707
2000-01-30,24.68,21.1,30.21,0.0,73.84,2.66,21.09,100.93,Tamil Nadu,13.0827,80.2707
2000-01-31,24.45,21.14,29.85,0.0,68.78,2.52,22.08,100.93,Tamil Nadu,13.0827,80.2707
2000-02-01,24.26,20.85,29.41,0.0,62.13,2.37,21.12,100.78,Tamil Nadu,13.0827,80.2707
