,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,21.27,15.37,29.3,0.0,56.89,1.9,17.68,95.72,Telangana,17.385,78.4867
2000-01-02,20.78,13.8,29.38,0.0,52.07,1.63,17.04,95.74,Telangana,17.385,78.4867
2000-01-03,20.67,14.37,29.82,0.0,39.46,1.59,17.48,95.63,Telangana,17.385,78.4867
2000-01-04,20.02,12.18,29.79,0.0,26.71,1.49,18.02,95.63,Telangana,17.385,78.4867
2000-01-05,20.47,12.96,30.07,0.0,32.72,1.53,16.73,95.66,Telangana,17.385,78.4867
2000-01-06,20.28,12.75,30.24,0.0,23.03,2.03,17.94,95.67,Telangana,17.385,78.4867
2000-01-07,19.35,11.5,29.23,0.0,23.56,2.22,17.3,95.72,Telangana,17.385,78.4867
2000-01-08,20.0,11.28,30.45,0.0,20.94,1.62,17.64,95.67,Telangana,17.385,78.4867
2000-01-09,21.42,12.75,31.77,0.0,39.02,1.63,17.55,95.64,Telangana,17.385,78.4867
2000-01-10,22.11,14.03,32.0,0.0,45.57,2.02,16.41,95.58,Telangana,17.385,78.4867
2000-01-11,22.3,14.24,31.83,0.0,51.89,2.59,17.38,95.61,Telangana,17.385,78.4867
2000-01-12,22.57,14.27,32.16,0.0,53.72,2.45,18.72,95.57,Telangana,17.385,78.4867
2000-01-13,25.04,16.69,33.91,0.0,51.17,1.44,17.0,95.49,Telangana,17.385,78.4867
2000-01-14,25.85,17.49,33.93,0.0,47.03,1.69,17.47,95.38,Telangana,17.385,78.4867
2000-01-15,26.6,19.1,33.65,0.0,42.74,2.32,17.41,95.4,Telangana,17.385,78.4867
2000-01-16,25.6,18.96,33.03,0.0,45.04,2.19,18.3,95.59,Telangana,17.385,78.4867
2000-01-17,24.85,17.77,33.04,0.0,41.94,2.1,18.96,95.81,Telangana,17.385,78.4867
2000-01-18,24.44,17.0,33.57,0.0,38.18,2.28,21.46,95.92,Telangana,17.385,78.4867
2000-01-19,23.55,15.32,33.68,0.0,24.55,2.2,18.88,95.79,Telangana,17.385,78.4867
2000-01-20,25.28,17.11,35.06,0.0,17.3,1.75,19.1,95.53,Telangana,17.385,78.4867
2000-01-21,25.44,16.81,35.3,0.0,24.57,1.26,19.48,95.57,Telangana,17.385,78.4867
2000-01-22,24.3,15.56,34.51,0.0,45.96,1.77,19.09,95.58,Telangana,17.385,78.4867
2000-01-23,23.76,15.75,33.54,0.0,33.83,1.75,19.35,95.58,Telangana,17.385,78.4867
2000-01-24,22.85,14.51,32.46,0.0,25.67,1.85,20.05,95.72,Telangana,17.385,78.4867
2000-01-25,22.48,13.99,31.47,0.0,41.92,1.91,19.06,95.84,Telangana,17.385,78.4867
2000-01-26,22.94,17.1,30.78,0.0,57.05,2.44,19.18,95.88,Telangana,17.385,78.4867
2000-01-27,22.79,15.9,30.87,0.0,54.89,2.15,19.25,95.82,Telangana,17.385,78.4867
2000-01-28,23.04,16.19,31.84,0.0,48.33,2.08,18.19,95.84,Telangana,17.385,78.4867
2000-01-29,22.89,15.99,32.4,0.0,28.25,1.93,19.47,95.9,Telangana,17.385,78.4867
2000-01-30,21.91,13.29,32.81,0.0,14.78,2.13,19.2,95.92,Telangana,17.385,78.4867
2000-01-31,22.1,13.54,32.04,0.0,27.26,1.76,19.14,95.87,Telangana,17.385,78.4867
2000-02-01,23.4,15.89,33.2,0.0,52.48,3.01,19.37,95.63,Telangana,17.385,78.4867
2000-02-02,23.3,15.03,33.29,0.0,51.41,2.23,20.53,95.64,Telangana,17.385,78.4867
2000-02-03,24.45,16.51,33.93,0.0,50.48,1.78,20.48,95.76,Telangana,17.385,78.4867
2000-02-04,25.4,18.44,34.54,0.0,51.49,2.24,20.39,95.62,Telangana,17.385,78.4867
2000-02-05,25.44,18.08,34.19,0.0,49.94,2.46,19.98,95.38,Telangana,17.385,78.4867
2000-02-06,24.79,16.36,34.22,0.04,33.55,1.09,18.36,95.38,Telangana,17.385,78.4867
2000-02-07,24.37,15.34,33.52,0.08,32.63,1.16,19.53,95.38,Telangana,17.385,78.4867
2000-02-08,25.69,17.97,33.8,0.07,55.38,2.52,16.96,95.31,Telangana,17.385,78.4867
2000-02-09,26.2,20.06,33.57,0.0,54.18,1.78,18.12,95.42,Telangana,17.385,78.4867
2000-02-10,26.53,18.91,34.03,0.0,50.88,2.15,18.76,95.44,Telangana,17.385,78.4867
2000-02-11,25.95,19.42,33.29,0.0,50.76,2.39,18.92,95.4,Telangana,17.385,78.4867
2000-02-12,26.03,18.87,34.43,0.01,38.29,1.43,20.43,95.36,Telangana,17.385,78.4867
2000-02-13,25.99,19.19,33.18,2.85,57.56,2.33,17.27,95.34,Telangana,17.385,78.4867
2000-02-14,25.97,19.15,33.1,0.31,54.02,2.33,19.02,95.52,Telangana,17.385,78.4867
2000-02-15,25.75,19.26,32.4,0.0,54.64,2.89,19.56,95.65,Telangana,17.385,78.4867
2000-02-16,26.51,20.33,33.18,0.0,55.51,2.31,19.99,95.57,Telangana,17.385,78.4867
2000-02-17,26.35,20.04,34.75,0.01,42.31,2.81,20.16,95.31,Telangana,17.385,78.4867
2000-02-18,24.23,15.51,33.79,0.0,22.38,1.74,22.7,95.33,Telangana,17.385,78.4867
2000-02-19,24.89,15.81,33.29,1.99,27.92,2.33,19.94,95.31,Telangana,17.385,78.4867
2000-02-20,25.11,19.73,33.32,1.08,55.21,3.5,19.47,95.19,Telangana,17.385,78.4867
2000-02-21,24.91,20.08,31.86,1.89,70.91,3.89,19.57,95.32,Telangana,17.385,78.4867
2000-02-22,25.35,20.6,31.8,0.64,67.63,3.7,16.2,95.44,Telangana,17.385,78.4867
2000-02-23,24.89,20.23,31.29,0.84,65.51,3.44,19.72,95.53,Telangana,17.385,78.4867
2000-02-24,25.18,20.0,31.9,1.3,68.06,2.61,17.04,95.58,Telangana,17.385,78.4867
2000-02-25,24.23,20.39,30.0,36.11,76.19,2.42,16.75,95.5,Telangana,17.385,78.4867
2000-02-26,23.23,20.27,27.76,12.4,80.04,1.91,11.93,95.4,Telangana,17.385,78.4867
2000-02-27,23.92,19.63,30.26,0.07,72.23,2.07,21.98,95.51,Telangana,17.385,78.4867
2000-02-28,23.74,18.35,31.45,0.05,63.77,1.85,24.77,95.71,Telangana,17.385,78.4867
2000-02-29,23.56,14.85,32.05,0.0,38.69,1.61,25.66,95.7,Telangana,17.385,78.4867
2000-03-01,25.17,18.65,34.03,0.0,31.98,1.49,25.25,95.54,Telangana,17.385,78.4867
2000-03-02,25.5,15.64,35.08,0.0,36.24,1.8,24.81,95.49,Telangana,17.385,78.4867
2000-03-03,26.0,16.32,35.57,0.0,35.24,2.01,24.67,95.49,Telangana,17.385,78.4867
2000-03-04,26.56,19.0,35.51,0.0,34.07,1.02,25.42,95.45,Telangana,17.385,78.4867
2000-03-05,25.51,16.45,34.98,0.0,44.01,1.77,25.6,95.4,Telangana,17.385,78.4867
2000-03-06,25.03,16.34,34.8,0.0,41.77,2.43,25.69,95.37,Telangana,17.385,78.4867
2000-03-07,25.28,16.93,34.47,0.0,49.2,2.23,26.0,95.42,Telangana,17.385,78.4867
2000-03-08,25.77,16.65,34.05,0.0,50.03,1.63,25.57,95.43,Telangana,17.385,78.4867
2000-03-09,25.21,16.57,34.91,0.0,31.45,1.99,24.99,95.38,Telangana,17.385,78.4867
2000-03-10,25.61,14.87,35.45,0.0,22.24,1.15,24.36,95.37,Telangana,17.385,78.4867
2000-03-11,27.65,18.03,36.66,0.0,23.34,1.32,24.0,95.35,Telangana,17.385,78.4867
2000-03-12,27.35,16.22,36.88,0.0,30.68,1.51,23.86,95.22,Telangana,17.385,78.4867
2000-03-13,27.02,16.92,36.1,0.0,33.91,1.3,24.22,95.15,Telangana,17.385,78.4867
2000-03-14,27.02,18.37,35.45,0.0,34.01,2.07,25.39,95.33,Telangana,17.385,78.4867
2000-03-15,27.68,17.73,36.08,0.0,26.27,1.37,25.71,95.39,Telangana,17.385,78.4867
2000-03-16,27.72,17.36,36.61,0.0,20.16,1.28,26.66,95.31,Telangana,17.385,78.4867
2000-03-17,28.21,19.19,37.63,0.0,28.83,1.44,26.82,95.16,Telangana,17.385,78.4867
2000-03-18,28.36,18.96,37.58,0.0,44.64,1.75,25.09,95.23,Telangana,17.385,78.4867
2000-03-19,28.42,19.57,37.82,0.0,40.51,1.07,24.22,95.3,Telangana,17.385,78.4867
2000-03-20,28.65,20.91,37.68,0.0,33.41,1.1,21.96,95.25,Telangana,17.385,78.4867
2000-03-21,28.71,19.74,37.74,0.0,38.18,2.71,24.17,95.35,Telangana,17.385,78.4867
2000-03-22,28.59,20.34,37.08,0.0,44.06,3.58,24.03,95.38,Telangana,17.385,78.4867
2000-03-23,29.04,20.38,37.58,0.0,40.25,2.12,24.32,95.4,Telangana,17.385,78.4867
2000-03-24,28.99,21.88,37.51,0.0,35.38,1.69,25.79,95.5,Telangana,17.385,78.4867
2000-03-25,27.96,18.79,37.51,0.0,19.08,2.08,25.84,95.54,Telangana,17.385,78.4867
2000-03-26,27.83,18.43,37.06,0.11,36.47,2.05,24.22,95.53,Telangana,17.385,78.4867
2000-03-27,28.48,19.93,36.36,0.0,44.06,2.61,22.35,95.49,Telangana,17.385,78.4867
2000-03-28,28.94,21.44,36.71,0.45,40.09,2.26,26.14,95.44,Telangana,17.385,78.4867
2000-03-29,28.88,20.41,37.11,0.0,36.78,2.21,25.89,95.43,Telangana,17.385,78.4867
2000-03-30,29.69,22.05,38.65,0.0,26.1,2.04,25.66,95.3,Telangana,17.385,78.4867
2000-03-31,29.03,18.99,38.82,0.0,25.08,2.34,24.85,95.19,Telangana,17.385,78.4867
2000-04-01,28.9,19.56,38.2,0.0,42.0,3.11,26.26,95.17,Telangana,17.385,78.4867
2000-04-02,30.28,22.0,38.88,0.0,49.54,2.71,26.29,95.17,Telangana,17.385,78.4867
2000-04-03,31.26,23.44,40.01,0.0,43.03,2.88,26.86,95.19,Telangana,17.385,78.4867
2000-04-04,31.52,22.59,40.21,0.0,37.74,2.92,26.81,95.15,Telangana,17.385,78.4867
2000-04-05,32.1,23.28,41.0,0.07,38.12,2.8,26.01,95.1,Telangana,17.385,78.4867
2000-04-06,32.69,24.92,40.8,0.05,35.19,3.05,26.0,95.12,Telangana,17.385,78.4867
2000-04-07,31.89,23.86,40.62,0.0,39.52,3.44,25.72,95.31,Telangana,17.385,78.4867
2000-04-08,32.28,23.22,40.39,0.0,41.89,2.32,26.61,95.33,Telangana,17.385,78.4867
2000-04-09,34.25,27.02,42.13,0.04,24.83,2.73,26.45,95.1,Telangana,17.385,78.4867
2000-04-10,33.61,24.74,42.74,0.02,15.97,1.71,26.63,95.03,Telangana,17.385,78.4867
2000-04-11,33.15,23.07,42.16,0.0,32.57,1.59,25.0,94.97,Telangana,17.385,78.4867
2000-04-12,33.28,25.34,41.18,0.0,34.58,3.07,24.6,95.02,Telangana,17.385,78.4867
2000-04-13,33.89,25.74,41.43,0.06,36.86,2.46,22.92,94.88,Telangana,17.385,78.4867
2000-04-14,34.69,28.03,42.31,0.19,32.17,2.65,24.8,94.74,Telangana,17.385,78.4867
2000-04-15,34.26,26.48,42.16,0.04,29.0,2.43,27.15,94.86,Telangana,17.385,78.4867
2000-04-16,33.63,26.86,40.49,0.1,36.75,1.48,21.46,95.02,Telangana,17.385,78.4867
2000-04-17,33.69,25.87,41.85,0.03,34.07,2.03,25.92,95.01,Telangana,17.385,78.4867
2000-04-18,33.27,26.48,40.33,0.01,39.55,3.38,24.46,95.2,Telangana,17.385,78.4867
2000-04-19,33.18,25.27,40.43,0.0,33.03,2.67,23.87,95.26,Telangana,17.385,78.4867
2000-04-20,33.37,25.24,41.41,0.0,27.84,3.0,27.3,95.14,Telangana,17.385,78.4867
2000-04-21,33.85,25.02,42.27,0.0,24.77,2.82,27.2,95.05,Telangana,17.385,78.4867
2000-04-22,34.89,26.85,42.5,0.0,18.84,2.41,26.1,95.03,Telangana,17.385,78.4867
2000-04-23,34.67,27.56,41.49,0.0,21.53,2.62,25.43,95.01,Telangana,17.385,78.4867
2000-04-24,34.43,28.54,41.95,0.0,19.48,2.33,26.8,94.97,Telangana,17.385,78.4867
2000-04-25,33.62,25.67,41.93,0.0,18.94,3.24,26.88,94.82,Telangana,17.385,78.4867
2000-04-26,34.9,25.11,42.9,0.0,18.29,2.26,26.56,94.81,Telangana,17.385,78.4867
2000-04-27,35.3,26.18,44.23,0.0,17.19,2.44,28.47,94.76,Telangana,17.385,78.4867
2000-04-28,35.33,27.03,43.89,0.0,16.01,2.95,29.66,94.8,Telangana,17.385,78.4867
2000-04-29,35.02,25.76,43.85,0.0,15.97,2.5,29.1,94.92,Telangana,17.385,78.4867
2000-04-30,34.58,25.06,43.33,0.0,17.39,2.02,28.29,95.03,Telangana,17.385,78.4867
2000-05-01,34.66,25.81,43.3,0.0,19.91,1.95,24.24,95.02,Telangana,17.385,78.4867
2000-05-02,34.96,25.9,43.74,0.0,24.41,2.14,24.02,95.0,Telangana,17.385,78.4867
2000-05-03,35.07,27.8,43.2,0.04,32.08,2.96,23.02,95.03,Telangana,17.385,78.4867
2000-05-04,33.47,25.96,41.15,0.0,34.92,3.68,27.06,95.03,Telangana,17.385,78.4867
2000-05-05,31.52,25.69,38.43,15.12,46.13,2.67,26.56,95.07,Telangana,17.385,78.4867
2000-05-06,30.38,23.69,37.25,2.07,56.83,2.07,11.8,95.14,Telangana,17.385,78.4867
2000-05-07,28.0,24.72,32.57,17.44,67.32,2.2,27.92,95.24,Telangana,17.385,78.4867
2000-05-08,28.18,23.89,33.18,0.91,64.51,2.0,23.02,95.2,Telangana,17.385,78.4867
2000-05-09,29.98,23.4,36.54,0.01,53.21,1.87,24.21,95.15,Telangana,17.385,78.4867
2000-05-10,31.64,24.49,38.35,0.0,50.5,1.91,25.59,95.05,Telangana,17.385,78.4867
2000-05-11,31.13,26.6,36.72,0.01,53.93,2.25,24.65,95.0,Telangana,17.385,78.4867
2000-05-12,32.35,26.56,39.31,0.0,44.38,3.86,24.81,94.97,Telangana,17.385,78.4867
2000-05-13,32.6,27.11,39.16,0.0,39.75,3.3,25.4,94.98,Telangana,17.385,78.4867
2000-05-14,32.6,25.52,39.64,0.0,34.84,3.69,25.41,94.99,Telangana,17.385,78.4867
2000-05-15,33.56,27.55,40.13,0.39,33.49,4.23,25.41,94.97,Telangana,17.385,78.4867
2000-05-16,30.98,26.67,37.23,4.59,46.67,4.71,24.47,95.06,Telangana,17.385,78.4867
2000-05-17,30.32,24.36,36.66,0.06,43.92,4.87,24.55,95.02,Telangana,17.385,78.4867
2000-05-18,31.25,24.78,38.25,0.0,46.34,5.47,25.29,94.86,Telangana,17.385,78.4867
2000-05-19,30.78,25.13,37.59,0.14,47.64,5.31,22.72,94.85,Telangana,17.385,78.4867
2000-05-20,31.86,26.11,38.4,0.01,45.04,3.87,22.45,94.84,Telangana,17.385,78.4867
2000-05-21,33.07,27.92,38.51,0.0,40.33,3.63,23.21,94.81,Telangana,17.385,78.4867
2000-05-22,32.05,28.78,36.19,0.0,45.33,2.33,19.89,94.85,Telangana,17.385,78.4867
2000-05-23,32.26,28.31,36.25,1.24,45.53,2.68,19.97,94.8,Telangana,17.385,78.4867
2000-05-24,29.71,26.3,34.64,3.43,59.95,3.62,21.43,94.87,Telangana,17.385,78.4867
2000-05-25,28.57,25.05,33.05,0.69,65.71,3.51,19.44,94.89,Telangana,17.385,78.4867
2000-05-26,27.84,24.6,32.3,0.1,67.65,3.21,19.45,94.82,Telangana,17.385,78.4867
2000-05-27,29.47,24.32,35.49,0.05,56.54,2.53,24.27,94.87,Telangana,17.385,78.4867
2000-05-28,29.53,25.65,33.85,0.0,58.66,2.62,25.2,94.94,Telangana,17.385,78.4867
2000-05-29,30.38,25.01,35.53,0.04,53.77,2.47,23.77,95.0,Telangana,17.385,78.4867
2000-05-30,29.51,25.81,33.98,1.02,58.56,3.22,22.31,95.0,Telangana,17.385,78.4867
2000-05-31,29.88,25.9,34.94,0.99,54.55,4.11,20.31,94.9,Telangana,17.385,78.4867
2000-06-01,28.64,25.45,33.21,0.3,59.73,3.15,22.31,94.77,Telangana,17.385,78.4867
2000-06-02,27.64,24.21,33.82,22.49,67.05,2.53,19.66,94.75,Telangana,17.385,78.4867
2000-06-03,28.18,23.25,33.09,1.04,66.64,1.87,24.52,94.62,Telangana,17.385,78.4867
