,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,17.83,11.54,25.53,0.0,62.58,1.43,16.31,101.1,Tripura,23.8315,91.2868
2000-01-02,17.78,10.43,25.8,0.0,59.1,1.27,17.05,101.05,Tripura,23.8315,91.2868
2000-01-03,17.55,11.33,25.44,0.0,57.03,1.25,17.1,100.93,Tripura,23.8315,91.2868
2000-01-04,17.2,11.54,25.23,0.0,60.19,1.2,15.92,100.97,Tripura,23.8315,91.2868
2000-01-05,17.7,11.79,25.27,0.0,57.51,1.05,15.51,101.0,Tripura,23.8315,91.2868
2000-01-06,17.56,12.11,24.73,0.0,55.62,1.03,15.97,100.89,Tripura,23.8315,91.2868
2000-01-07,16.66,10.05,24.82,0.0,60.47,1.18,14.92,101.0,Tripura,23.8315,91.2868
2000-01-08,15.99,9.68,23.77,0.0,57.45,1.19,14.53,101.0,Tripura,23.8315,91.2868
2000-01-09,16.49,10.97,24.25,0.0,58.07,1.2,15.82,101.01,Tripura,23.8315,91.2868
2000-01-10,16.94,10.66,24.84,0.0,53.86,1.29,16.61,101.0,Tripura,23.8315,91.2868
2000-01-11,17.76,9.79,26.54,0.0,58.58,1.49,16.86,100.99,Tripura,23.8315,91.2868
2000-01-12,19.03,11.04,27.0,0.0,54.57,1.29,16.69,100.96,Tripura,23.8315,91.2868
2000-01-13,19.59,11.99,27.45,0.0,54.41,1.26,17.23,100.83,Tripura,23.8315,91.2868
2000-01-14,20.16,14.22,28.17,0.0,59.98,1.2,16.76,100.67,Tripura,23.8315,91.2868
2000-01-15,20.25,15.35,28.21,0.0,59.91,1.27,16.77,100.84,Tripura,23.8315,91.2868
2000-01-16,19.89,13.71,28.33,1.01,58.34,1.48,15.69,101.01,Tripura,23.8315,91.2868
2000-01-17,17.88,10.78,26.52,0.0,52.72,1.78,16.74,101.19,Tripura,23.8315,91.2868
2000-01-18,15.76,9.16,24.99,0.0,44.38,1.31,17.26,101.2,Tripura,23.8315,91.2868
2000-01-19,16.73,10.65,25.53,0.0,51.6,1.28,17.24,100.87,Tripura,23.8315,91.2868
2000-01-20,16.72,9.68,25.07,0.0,57.32,1.74,14.71,100.76,Tripura,23.8315,91.2868
2000-01-21,17.83,10.66,25.94,0.14,77.43,1.44,12.01,101.12,Tripura,23.8315,91.2868
2000-01-22,19.9,13.61,26.91,1.26,72.93,1.09,13.45,101.07,Tripura,23.8315,91.2868
2000-01-23,19.85,14.46,26.25,4.57,79.86,1.35,11.31,101.03,Tripura,23.8315,91.2868
2000-01-24,19.47,14.31,25.98,1.25,72.64,1.11,16.78,101.25,Tripura,23.8315,91.2868
2000-01-25,19.0,12.6,26.62,0.0,62.47,1.32,16.72,101.38,Tripura,23.8315,91.2868
2000-01-26,18.81,11.51,27.69,0.0,58.48,1.57,19.36,101.32,Tripura,23.8315,91.2868
2000-01-27,19.34,13.03,28.14,0.0,52.79,1.28,19.3,101.18,Tripura,23.8315,91.2868
2000-01-28,20.28,13.13,27.94,0.0,47.69,1.36,17.52,101.12,Tripura,23.8315,91.2868
2000-01-29,18.83,12.22,25.64,3.82,59.17,1.27,8.75,101.09,Tripura,23.8315,91.2868
2000-01-30,18.53,13.48,25.48,0.0,63.22,1.19,17.67,101.31,Tripura,23.8315,91.2868
2000-01-31,18.55,10.67,26.46,0.0,57.35,1.22,18.05,101.39,Tripura,23.8315,91.2868
2000-02-01,19.45,11.65,27.07,0.0,50.24,0.88,18.95,101.18,Tripura,23.8315,91.2868
2000-02-02,18.68,11.29,27.18,0.11,59.15,1.65,17.49,101.14,Tripura,23.8315,91.2868
2000-02-03,20.24,13.65,27.06,0.16,75.64,1.85,12.99,101.24,Tripura,23.8315,91.2868
2000-02-04,21.13,15.61,27.61,1.53,73.97,1.45,11.49,101.06,Tripura,23.8315,91.2868
2000-02-05,21.02,14.41,27.56,14.67,76.13,1.22,6.65,100.94,Tripura,23.8315,91.2868
2000-02-06,21.03,14.82,28.51,1.17,68.71,1.62,10.19,100.82,Tripura,23.8315,91.2868
2000-02-07,19.24,16.09,23.67,1.13,77.35,0.98,15.42,100.9,Tripura,23.8315,91.2868
2000-02-08,19.53,13.13,27.37,0.0,64.39,1.37,16.75,100.93,Tripura,23.8315,91.2868
2000-02-09,19.06,12.4,27.23,0.0,53.22,1.49,16.44,100.94,Tripura,23.8315,91.2868
2000-02-10,19.63,13.39,26.96,0.02,54.62,1.37,16.43,101.02,Tripura,23.8315,91.2868
2000-02-11,18.63,11.41,27.64,0.0,51.96,1.6,20.27,100.98,Tripura,23.8315,91.2868
2000-02-12,18.65,12.32,26.38,0.13,48.82,1.71,13.49,100.93,Tripura,23.8315,91.2868
2000-02-13,20.79,13.35,29.24,0.0,57.94,1.89,20.41,100.85,Tripura,23.8315,91.2868
2000-02-14,20.82,14.1,29.35,0.15,58.53,1.94,10.67,100.89,Tripura,23.8315,91.2868
2000-02-15,19.31,12.22,28.66,0.0,48.98,2.19,21.97,101.01,Tripura,23.8315,91.2868
2000-02-16,18.63,10.92,28.62,0.0,39.8,1.43,21.67,100.85,Tripura,23.8315,91.2868
2000-02-17,19.93,12.6,28.34,0.0,39.09,1.18,20.06,100.66,Tripura,23.8315,91.2868
2000-02-18,19.87,13.1,27.87,0.15,46.28,1.41,8.98,100.72,Tripura,23.8315,91.2868
2000-02-19,18.79,12.86,27.77,0.0,47.16,1.48,20.48,100.85,Tripura,23.8315,91.2868
2000-02-20,18.89,10.05,28.45,0.0,36.19,1.61,20.88,100.87,Tripura,23.8315,91.2868
2000-02-21,19.7,10.88,28.97,0.0,38.62,1.55,10.39,100.98,Tripura,23.8315,91.2868
2000-02-22,19.73,11.2,28.8,0.0,40.02,1.68,21.55,101.0,Tripura,23.8315,91.2868
2000-02-23,21.03,12.45,28.98,0.0,34.33,1.86,22.16,101.0,Tripura,23.8315,91.2868
2000-02-24,20.64,12.79,29.04,0.82,36.64,1.77,19.93,101.0,Tripura,23.8315,91.2868
2000-02-25,20.31,13.15,29.69,0.0,35.07,1.95,19.44,100.88,Tripura,23.8315,91.2868
2000-02-26,19.54,12.38,27.75,0.0,35.42,1.76,16.01,100.8,Tripura,23.8315,91.2868
2000-02-27,19.49,11.35,28.46,0.0,46.19,1.66,21.66,100.91,Tripura,23.8315,91.2868
2000-02-28,20.0,12.26,29.71,0.0,38.2,1.6,21.02,100.98,Tripura,23.8315,91.2868
2000-02-29,20.87,11.05,30.18,0.0,35.05,1.29,20.8,100.86,Tripura,23.8315,91.2868
2000-03-01,21.71,12.66,30.52,0.0,43.31,1.37,16.18,100.68,Tripura,23.8315,91.2868
2000-03-02,22.23,15.9,29.17,11.62,74.56,2.04,11.96,100.61,Tripura,23.8315,91.2868
2000-03-03,23.99,18.8,30.65,5.52,77.09,1.87,15.64,100.66,Tripura,23.8315,91.2868
2000-03-04,25.0,18.87,31.97,1.66,69.52,2.29,16.85,100.76,Tripura,23.8315,91.2868
