,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,16.83,9.71,24.36,0.0,25.32,0.72,7.78,100.25,Uttar Pradesh,26.8467,80.9462
2000-01-02,16.06,10.27,24.44,0.0,28.38,1.08,8.35,100.25,Uttar Pradesh,26.8467,80.9462
2000-01-03,15.26,8.14,24.04,0.0,29.44,1.46,8.41,100.11,Uttar Pradesh,26.8467,80.9462
2000-01-04,15.31,6.01,24.54,0.0,27.47,1.62,7.91,100.08,Uttar Pradesh,26.8467,80.9462
2000-01-05,14.69,8.18,24.23,0.0,27.75,1.53,5.47,100.14,Uttar Pradesh,26.8467,80.9462
2000-01-06,14.12,5.68,25.18,0.0,29.6,2.19,9.01,100.06,Uttar Pradesh,26.8467,80.9462
2000-01-07,14.62,6.47,24.84,0.0,27.56,1.77,6.79,100.1,Uttar Pradesh,26.8467,80.9462
2000-01-08,16.93,7.92,26.06,0.0,22.3,1.71,10.06,99.97,Uttar Pradesh,26.8467,80.9462
2000-01-09,17.42,11.09,26.18,0.0,26.26,1.09,13.12,99.98,Uttar Pradesh,26.8467,80.9462
2000-01-10,17.34,11.48,24.68,0.01,32.63,1.19,11.8,99.9,Uttar Pradesh,26.8467,80.9462
2000-01-11,19.32,10.63,27.61,0.0,32.25,1.14,15.22,100.0,Uttar Pradesh,26.8467,80.9462
2000-01-12,18.34,10.33,27.63,0.07,37.37,1.89,6.84,99.85,Uttar Pradesh,26.8467,80.9462
2000-01-13,18.0,12.01,27.01,5.36,51.12,1.97,14.05,99.68,Uttar Pradesh,26.8467,80.9462
2000-01-14,17.49,11.14,26.02,0.0,47.5,1.61,14.5,99.77,Uttar Pradesh,26.8467,80.9462
2000-01-15,15.99,9.28,25.8,0.0,37.36,1.93,14.44,99.95,Uttar Pradesh,26.8467,80.9462
2000-01-16,13.06,6.11,23.24,0.0,26.97,2.74,15.37,100.32,Uttar Pradesh,26.8467,80.9462
