,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,9.78,4.64,18.25,0.0,23.99,1.34,14.95,86.27,Uttarakhand,30.3165,78.0322
2000-01-02,9.9,5.65,17.76,0.0,23.71,1.31,15.0,86.25,Uttarakhand,30.3165,78.0322
2000-01-03,9.61,5.09,17.31,0.0,23.01,1.28,15.1,86.07,Uttarakhand,30.3165,78.0322
2000-01-04,9.57,4.21,18.04,0.0,22.97,1.35,15.13,86.05,Uttarakhand,30.3165,78.0322
2000-01-05,9.51,4.51,17.48,0.0,21.73,1.36,15.18,86.12,Uttarakhand,30.3165,78.0322
2000-01-06,9.87,3.84,18.11,0.0,20.13,1.35,14.89,86.09,Uttarakhand,30.3165,78.0322
2000-01-07,9.36,4.83,16.45,0.0,22.27,1.23,14.88,86.1,Uttarakhand,30.3165,78.0322
2000-01-08,10.34,6.65,17.61,0.0,33.72,1.34,8.58,86.0,Uttarakhand,30.3165,78.0322
2000-01-09,8.52,6.38,11.28,0.14,60.25,1.23,6.75,86.01,Uttarakhand,30.3165,78.0322
2000-01-10,9.75,6.57,14.1,0.0,57.16,0.9,8.75,86.02,Uttarakhand,30.3165,78.0322
2000-01-11,10.91,6.31,17.34,0.0,41.34,1.21,6.55,86.13,Uttarakhand,30.3165,78.0322
2000-01-12,10.44,6.0,16.35,7.37,51.77,2.11,2.46,85.97,Uttarakhand,30.3165,78.0322
2000-01-13,8.25,6.17,12.12,9.07,82.66,1.53,5.98,85.83,Uttarakhand,30.3165,78.0322
2000-01-14,6.82,2.73,13.36,0.33,65.28,1.97,11.8,85.8,Uttarakhand,30.3165,78.0322
2000-01-15,5.59,1.0,12.64,0.0,36.59,1.72,13.06,85.91,Uttarakhand,30.3165,78.0322
2000-01-16,4.7,-1.87,12.67,0.0,31.07,1.5,13.38,86.19,Uttarakhand,30.3165,78.0322
2000-01-17,8.2,1.62,17.69,0.0,23.89,1.49,12.04,86.27,Uttarakhand,30.3165,78.0322
2000-01-18,12.37,5.65,23.06,0.0,33.49,1.91,13.4,86.21,Uttarakhand,30.3165,78.0322
2000-01-19,12.65,7.59,21.11,0.0,38.82,1.81,9.92,85.94,Uttarakhand,30.3165,78.0322
2000-01-20,9.98,3.89,19.17,0.0,39.28,1.61,14.17,85.52,Uttarakhand,30.3165,78.0322
2000-01-21,9.44,3.43,17.35,0.0,36.01,1.52,13.05,85.93,Uttarakhand,30.3165,78.0322
2000-01-22,7.88,3.82,14.37,0.09,62.28,1.29,11.81,86.16,Uttarakhand,30.3165,78.0322
2000-01-23,8.38,2.97,16.16,0.01,50.18,1.52,14.9,86.07,Uttarakhand,30.3165,78.0322
2000-01-24,8.88,2.34,17.21,0.0,38.28,1.53,15.51,86.21,Uttarakhand,30.3165,78.0322
2000-01-25,9.69,3.5,17.37,12.23,45.77,1.46,7.04,86.37,Uttarakhand,30.3165,78.0322
2000-01-26,7.03,3.94,11.12,2.27,71.66,1.53,5.93,86.45,Uttarakhand,30.3165,78.0322
2000-01-27,8.05,3.32,14.23,0.02,57.23,1.42,10.79,86.31,Uttarakhand,30.3165,78.0322
2000-01-28,8.26,2.75,16.25,0.01,41.58,1.54,15.05,86.17,Uttarakhand,30.3165,78.0322
2000-01-29,9.77,2.37,21.02,0.0,30.18,1.64,15.57,86.03,Uttarakhand,30.3165,78.0322
2000-01-30,10.78,4.38,19.81,0.0,28.87,1.49,15.81,86.2,Uttarakhand,30.3165,78.0322
2000-01-31,9.89,4.56,17.17,0.0,35.65,1.97,13.73,86.14,Uttarakhand,30.3165,78.0322
2000-02-01,8.94,4.63,15.76,0.33,48.83,2.32,3.65,85.8,Uttarakhand,30.3165,78.0322
2000-02-02,7.59,1.9,12.68,0.01,63.06,1.41,13.83,86.05,Uttarakhand,30.3165,78.0322
2000-02-03,9.15,3.78,16.63,0.0,39.8,1.57,15.46,86.25,Uttarakhand,30.3165,78.0322
2000-02-04,9.02,4.33,16.64,4.38,44.35,2.3,10.27,85.96,Uttarakhand,30.3165,78.0322
2000-02-05,3.85,0.87,8.02,10.77,85.51,2.07,4.65,85.68,Uttarakhand,30.3165,78.0322
2000-02-06,5.77,0.89,11.18,0.13,74.51,1.34,10.77,85.93,Uttarakhand,30.3165,78.0322
2000-02-07,8.22,2.74,15.63,0.19,58.87,1.31,15.54,85.97,Uttarakhand,30.3165,78.0322
2000-02-08,8.49,3.69,15.67,0.03,52.52,1.53,15.88,85.92,Uttarakhand,30.3165,78.0322
2000-02-09,8.67,2.59,16.12,0.0,45.92,1.54,16.55,85.96,Uttarakhand,30.3165,78.0322
2000-02-10,9.2,3.4,16.22,2.53,55.02,1.87,9.09,85.86,Uttarakhand,30.3165,78.0322
2000-02-11,4.61,1.91,9.04,3.05,78.13,2.93,5.76,85.79,Uttarakhand,30.3165,78.0322
2000-02-12,5.87,1.64,10.78,1.9,69.26,1.66,10.54,85.96,Uttarakhand,30.3165,78.0322
2000-02-13,6.69,1.24,12.91,0.0,57.82,1.54,15.44,86.0,Uttarakhand,30.3165,78.0322
2000-02-14,8.74,2.61,16.28,0.0,46.47,1.55,17.3,86.12,Uttarakhand,30.3165,78.0322
2000-02-15,10.08,4.13,17.8,0.0,36.38,1.28,12.87,86.1,Uttarakhand,30.3165,78.0322
2000-02-16,9.84,5.36,16.96,0.0,36.5,1.74,16.21,85.88,Uttarakhand,30.3165,78.0322
2000-02-17,7.71,2.72,14.47,0.0,38.21,1.72,14.97,85.71,Uttarakhand,30.3165,78.0322
2000-02-18,6.51,0.9,14.08,0.0,35.9,1.68,17.2,85.78,Uttarakhand,30.3165,78.0322
2000-02-19,7.0,0.12,14.83,0.0,32.92,1.66,16.65,85.86,Uttarakhand,30.3165,78.0322
2000-02-20,7.52,0.85,14.66,0.0,37.03,1.64,15.03,85.89,Uttarakhand,30.3165,78.0322
2000-02-21,8.33,1.69,15.39,0.0,46.35,1.47,18.28,86.07,Uttarakhand,30.3165,78.0322
2000-02-22,8.8,3.31,16.57,0.0,34.57,1.73,18.88,86.18,Uttarakhand,30.3165,78.0322
2000-02-23,9.2,1.75,18.43,0.0,27.13,1.81,19.31,86.12,Uttarakhand,30.3165,78.0322
2000-02-24,8.91,1.67,17.57,0.0,27.53,1.65,19.78,86.04,Uttarakhand,30.3165,78.0322
2000-02-25,8.94,2.42,17.06,0.0,29.16,1.76,19.5,85.85,Uttarakhand,30.3165,78.0322
2000-02-26,9.25,2.57,17.15,0.0,29.42,1.83,18.68,85.78,Uttarakhand,30.3165,78.0322
2000-02-27,10.95,3.66,20.71,0.0,27.63,2.32,19.48,85.8,Uttarakhand,30.3165,78.0322
2000-02-28,12.58,5.51,21.81,0.0,27.7,3.0,20.01,85.95,Uttarakhand,30.3165,78.0322
