,T2M,T2M_MIN,T2M_MAX,PRECTOTCORR,RH2M,WS2M,ALLSKY_SFC_SW_DWN,PS,city,latitude,longitude
2000-01-01,16.03,9.61,24.26,0.0,63.43,1.86,15.42,101.46,West Bengal,22.5726,88.3639
2000-01-02,15.86,8.22,24.2,0.0,61.48,1.87,16.03,101.41,West Bengal,22.5726,88.3639
2000-01-03,15.3,7.94,23.92,0.0,62.14,1.95,16.02,101.3,West Bengal,22.5726,88.3639
2000-01-04,15.37,7.37,24.12,0.0,58.3,1.98,15.21,101.33,West Bengal,22.5726,88.3639
2000-01-05,14.85,7.0,23.67,0.0,59.75,1.86,15.07,101.37,West Bengal,22.5726,88.3639
2000-01-06,14.44,7.13,23.2,0.0,60.68,2.15,15.82,101.29,West Bengal,22.5726,88.3639
2000-01-07,14.62,6.3,23.55,0.0,59.53,1.98,14.94,101.37,West Bengal,22.5726,88.3639
2000-01-08,15.14,7.05,23.44,0.0,55.83,1.7,15.03,101.34,West Bengal,22.5726,88.3639
2000-01-09,16.68,9.43,24.08,0.0,53.4,1.3,15.17,101.3,West Bengal,22.5726,88.3639
2000-01-10,17.41,8.99,25.35,0.0,61.65,1.38,15.23,101.24,West Bengal,22.5726,88.3639
2000-01-11,18.11,10.31,25.28,0.0,60.75,1.39,15.39,101.26,West Bengal,22.5726,88.3639
2000-01-12,18.56,10.1,26.47,0.0,63.61,1.19,15.84,101.22,West Bengal,22.5726,88.3639
2000-01-13,19.41,11.79,27.28,0.0,68.53,1.1,16.46,101.1,West Bengal,22.5726,88.3639
2000-01-14,19.65,13.43,27.88,0.0,76.53,1.97,15.5,100.94,West Bengal,22.5726,88.3639
2000-01-15,20.87,13.1,28.66,0.12,60.91,0.95,15.73,101.12,West Bengal,22.5726,88.3639
2000-01-16,20.67,15.49,27.9,0.51,69.27,1.51,15.01,101.31,West Bengal,22.5726,88.3639
2000-01-17,17.07,10.66,25.78,0.0,64.57,2.46,15.7,101.53,West Bengal,22.5726,88.3639
2000-01-18,14.52,7.33,23.3,0.0,58.43,2.34,15.06,101.56,West Bengal,22.5726,88.3639
2000-01-19,15.04,6.65,23.81,0.0,57.75,1.95,16.17,101.25,West Bengal,22.5726,88.3639
2000-01-20,17.52,8.43,26.62,0.0,61.2,1.83,16.58,100.99,West Bengal,22.5726,88.3639
2000-01-21,19.86,14.44,27.5,0.02,76.71,1.44,13.88,101.23,West Bengal,22.5726,88.3639
2000-01-22,19.83,11.81,28.83,0.05,62.97,1.39,14.35,101.25,West Bengal,22.5726,88.3639
2000-01-23,21.01,16.43,27.7,2.15,78.35,1.77,13.59,101.18,West Bengal,22.5726,88.3639
2000-01-24,19.36,12.97,27.51,0.0,66.92,1.81,16.01,101.46,West Bengal,22.5726,88.3639
2000-01-25,18.34,11.54,26.51,0.0,66.7,1.97,16.21,101.67,West Bengal,22.5726,88.3639
2000-01-26,18.04,11.09,26.58,0.0,61.23,1.99,18.21,101.64,West Bengal,22.5726,88.3639
2000-01-27,18.82,10.89,27.03,0.0,56.0,1.44,19.12,101.51,West Bengal,22.5726,88.3639
2000-01-28,19.56,10.91,28.29,0.05,59.06,1.53,17.43,101.4,West Bengal,22.5726,88.3639
2000-01-29,18.78,13.63,26.48,0.36,67.03,2.44,14.94,101.39,West Bengal,22.5726,88.3639
2000-01-30,17.57,9.91,25.56,0.0,52.72,1.8,18.21,101.62,West Bengal,22.5726,88.3639
2000-01-31,18.72,11.38,26.47,0.0,49.07,1.09,17.54,101.66,West Bengal,22.5726,88.3639
2000-02-01,19.44,12.55,28.0,0.0,57.41,1.7,18.37,101.4,West Bengal,22.5726,88.3639
2000-02-02,21.16,15.45,28.4,4.26,75.7,2.64,14.92,101.3,West Bengal,22.5726,88.3639
2000-02-03,22.05,17.14,28.52,4.78,75.62,1.54,13.43,101.44,West Bengal,22.5726,88.3639
2000-02-04,21.95,16.11,28.88,1.23,72.89,1.17,13.73,101.29,West Bengal,22.5726,88.3639
2000-02-05,22.17,16.79,29.29,4.19,78.85,1.99,13.98,101.1,West Bengal,22.5726,88.3639
2000-02-06,22.38,18.57,28.27,4.51,81.69,2.36,11.08,101.04,West Bengal,22.5726,88.3639
2000-02-07,21.94,18.1,27.55,2.16,76.78,1.55,9.84,101.11,West Bengal,22.5726,88.3639
2000-02-08,20.99,15.08,27.68,0.0,67.11,1.47,16.14,101.18,West Bengal,22.5726,88.3639
2000-02-09,21.24,15.21,27.28,0.06,70.32,1.37,9.89,101.18,West Bengal,22.5726,88.3639
2000-02-10,21.94,18.22,27.43,0.03,80.8,1.52,14.8,101.23,West Bengal,22.5726,88.3639
2000-02-11,21.85,15.77,29.38,0.08,73.82,1.74,17.62,101.18,West Bengal,22.5726,88.3639
2000-02-12,23.0,19.41,28.4,11.84,83.37,1.6,8.43,101.1,West Bengal,22.5726,88.3639
2000-02-13,21.94,16.65,27.97,0.28,72.33,2.18,14.24,101.14,West Bengal,22.5726,88.3639
2000-02-14,20.3,16.37,26.09,0.0,66.39,2.52,14.46,101.28,West Bengal,22.5726,88.3639
2000-02-15,19.45,11.69,28.31,0.0,53.18,2.3,20.68,101.34,West Bengal,22.5726,88.3639
2000-02-16,18.95,10.12,27.27,0.0,45.65,1.93,20.07,101.2,West Bengal,22.5726,88.3639
2000-02-17,21.54,15.24,28.93,1.53,60.12,1.3,16.98,100.91,West Bengal,22.5726,88.3639
2000-02-18,21.65,16.04,27.12,3.57,79.15,1.57,17.18,100.96,West Bengal,22.5726,88.3639
2000-02-19,20.87,13.49,28.33,0.0,58.11,0.97,16.58,101.12,West Bengal,22.5726,88.3639
2000-02-20,21.04,13.07,28.4,0.0,54.76,1.11,17.47,101.15,West Bengal,22.5726,88.3639
2000-02-21,21.2,16.4,27.79,0.13,50.03,1.09,6.44,101.25,West Bengal,22.5726,88.3639
2000-02-22,20.92,13.85,28.25,0.03,60.04,1.24,18.03,101.28,West Bengal,22.5726,88.3639
2000-02-23,22.48,14.61,30.2,0.0,59.44,1.38,20.06,101.25,West Bengal,22.5726,88.3639
2000-02-24,22.34,16.11,29.0,0.05,54.56,1.81,16.78,101.3,West Bengal,22.5726,88.3639
2000-02-25,22.09,16.72,29.74,0.02,47.2,1.94,19.73,101.19,West Bengal,22.5726,88.3639
2000-02-26,19.29,12.96,25.32,0.0,47.3,1.49,18.0,101.16,West Bengal,22.5726,88.3639
2000-02-27,20.7,12.58,28.88,0.0,52.44,1.73,21.44,101.17,West Bengal,22.5726,88.3639
2000-02-28,21.89,13.62,30.29,0.0,53.56,1.84,21.59,101.24,West Bengal,22.5726,88.3639
2000-02-29,22.05,13.95,30.48,0.0,37.29,1.12,21.88,101.14,West Bengal,22.5726,88.3639
2000-03-01,23.42,15.54,31.92,0.0,49.4,1.38,18.16,100.87,West Bengal,22.5726,88.3639
2000-03-02,25.01,18.07,33.56,0.0,63.69,1.71,20.68,100.73,West Bengal,22.5726,88.3639
2000-03-03,26.52,19.93,34.51,0.0,61.44,1.55,19.67,100.8,West Bengal,22.5726,88.3639
2000-03-04,26.8,20.59,34.51,0.0,63.26,1.34,21.03,100.93,West Bengal,22.5726,88.3639
2000-03-05,27.09,20.49,35.56,0.0,66.09,2.26,20.62,100.81,West Bengal,22.5726,88.3639
2000-03-06,27.19,20.72,35.96,0.0,55.95,2.03,16.98,100.74,West Bengal,22.5726,88.3639
2000-03-07,26.34,18.12,35.74,0.0,40.02,1.17,18.71,100.89,West Bengal,22.5726,88.3639
2000-03-08,27.02,20.71,35.72,0.49,67.12,3.35,19.09,100.68,West Bengal,22.5726,88.3639
2000-03-09,25.15,17.18,33.26,0.29,44.34,1.89,18.62,100.7,West Bengal,22.5726,88.3639
2000-03-10,24.44,15.58,33.41,0.0,32.14,1.73,22.06,100.82,West Bengal,22.5726,88.3639
2000-03-11,25.08,16.47,34.59,0.0,63.94,2.58,17.2,100.73,West Bengal,22.5726,88.3639
2000-03-12,27.81,21.97,35.98,0.22,66.63,3.7,14.82,100.46,West Bengal,22.5726,88.3639
2000-03-13,28.4,22.54,37.03,0.38,64.43,3.44,17.01,100.37,West Bengal,22.5726,88.3639
2000-03-14,28.51,22.96,36.52,0.49,64.16,3.16,18.17,100.55,West Bengal,22.5726,88.3639
2000-03-15,26.15,17.01,34.5,0.04,36.91,1.78,18.05,100.76,West Bengal,22.5726,88.3639
2000-03-16,25.22,17.1,33.78,0.0,35.05,2.0,20.7,100.78,West Bengal,22.5726,88.3639
2000-03-17,24.33,14.48,34.27,0.0,31.17,1.87,20.59,100.7,West Bengal,22.5726,88.3639
2000-03-18,26.22,17.44,35.63,0.0,61.77,2.68,17.87,100.71,West Bengal,22.5726,88.3639
2000-03-19,28.3,21.08,36.69,0.0,58.6,1.87,20.62,100.7,West Bengal,22.5726,88.3639
2000-03-20,27.41,19.81,35.95,0.0,39.95,1.95,22.01,100.81,West Bengal,22.5726,88.3639
2000-03-21,26.12,15.59,36.39,0.0,22.0,1.69,23.87,101.0,West Bengal,22.5726,88.3639
2000-03-22,27.1,16.9,38.45,0.0,31.17,1.22,23.76,100.93,West Bengal,22.5726,88.3639
2000-03-23,28.2,19.43,38.04,0.0,53.41,1.61,19.13,100.9,West Bengal,22.5726,88.3639
2000-03-24,27.69,19.29,36.69,0.0,37.64,2.5,22.04,101.05,West Bengal,22.5726,88.3639
2000-03-25,28.32,20.96,36.95,0.0,37.48,1.82,20.89,101.09,West Bengal,22.5726,88.3639
2000-03-26,27.76,19.71,34.65,0.0,33.04,1.47,22.08,101.15,West Bengal,22.5726,88.3639
2000-03-27,28.72,21.18,37.12,0.09,44.01,1.18,19.09,101.04,West Bengal,22.5726,88.3639
2000-03-28,29.23,21.7,37.74,0.0,48.59,1.39,21.17,100.98,West Bengal,22.5726,88.3639
2000-03-29,29.39,21.01,38.32,0.0,51.57,1.37,21.55,100.93,West Bengal,22.5726,88.3639
2000-03-30,29.5,22.42,37.84,0.0,54.95,2.14,21.16,100.81,West Bengal,22.5726,88.3639
2000-03-31,29.13,21.57,37.47,0.0,58.38,2.88,22.95,100.7,West Bengal,22.5726,88.3639
2000-04-01,30.19,23.01,39.53,0.0,59.58,3.72,24.96,100.5,West Bengal,22.5726,88.3639
2000-04-02,30.68,23.53,40.41,0.0,61.03,4.01,25.3,100.34,West Bengal,22.5726,88.3639
2000-04-03,31.19,23.76,41.17,0.0,56.11,2.64,24.35,100.46,West Bengal,22.5726,88.3639
2000-04-04,31.3,24.1,41.02,0.0,57.94,3.04,23.59,100.43,West Bengal,22.5726,88.3639
2000-04-05,31.62,24.32,41.08,0.0,61.49,3.18,23.07,100.39,West Bengal,22.5726,88.3639
2000-04-06,31.73,24.87,40.8,0.0,59.48,3.2,23.23,100.41,West Bengal,22.5726,88.3639
2000-04-07,31.5,24.89,39.53,0.0,63.59,3.32,23.7,100.65,West Bengal,22.5726,88.3639
2000-04-08,32.15,24.53,41.88,0.0,55.84,2.61,24.28,100.54,West Bengal,22.5726,88.3639
2000-04-09,31.82,24.83,41.06,0.4,62.5,3.86,24.34,100.3,West Bengal,22.5726,88.3639
2000-04-10,32.95,25.5,42.4,0.41,46.68,1.89,23.68,100.32,West Bengal,22.5726,88.3639
2000-04-11,31.99,24.08,41.56,1.76,56.99,3.07,22.83,100.38,West Bengal,22.5726,88.3639
2000-04-12,30.39,25.21,37.91,13.82,67.21,2.98,24.99,100.4,West Bengal,22.5726,88.3639
2000-04-13,30.37,24.95,38.16,0.0,64.65,3.22,21.79,100.36,West Bengal,22.5726,88.3639
2000-04-14,29.95,24.09,37.96,0.02,63.61,3.55,20.7,100.26,West Bengal,22.5726,88.3639
2000-04-15,28.73,24.46,34.55,8.21,72.37,2.82,17.13,100.48,West Bengal,22.5726,88.3639
2000-04-16,29.79,24.03,36.93,1.61,66.93,1.85,25.88,100.53,West Bengal,22.5726,88.3639
2000-04-17,30.5,25.02,37.27,0.03,64.3,2.64,19.74,100.48,West Bengal,22.5726,88.3639
2000-04-18,31.3,25.38,39.06,0.03,65.05,4.07,20.83,100.48,West Bengal,22.5726,88.3639
